Sujeto,Relación,Objeto
Brigham Young,number of refugees led,"12,500"
Salt Lake City,state,Utah
Robert Owen,place of origin,Britain
Robert Owen,founder of,"New Harmony, Indiana"
George Ripley,founder of,Brook Farm
George Ripley,date of founding Brook Farm,1841
Brook Farm,location,"West Roxbury, Massachusetts"
John Humphrey Noyes,founder of community at,"Oneida, New York"
American Board of Commissioners for Foreign Missions,year of founding,1812
New York Tract Society,organization type,religious tract distribution society
New England Tract Society,organization type,religious tract distribution society
American Tract Society,year of founding,1824
American Education Society,year of founding,1816
American Bible Society,year of founding,1816
American Sunday School Union,year of founding,1817
American Peace Society,year of founding,1828
American Home Missionary Society,year of founding,1826
American Temperance Society,year of founding,1826
General Union for Promoting the Christian Sabbath,year of founding,1828
Connecticut,year of disestablishment,1818
Massachusetts,year of disestablishment,1833
John Griscom,author of,The Sanitary Condition of the Laboring Population of New York
The Sanitary Condition of the Laboring Population of New York,year of publication,1845
Alexis de Tocqueville,author of,Democracy in America
Democracy in America,years of publication,1835–1840
New York,crime rate quadrupling period,1814 to 1834
Panic of 1819,number of paupers in New York,"8,000"
Erie Canal,year of completion,1826
Americans,average annual alcohol consumption in 1820s-1830s,seven gallons of pure alcohol
United States,year of independence,1776
urban Americans,proportion of total population in 1790,5 percent
urban Americans,proportion of total population in 1860,20 percent
Lyman Beecher,position of,President of Lane Seminary
State of Connecticut,subject of religious disestablishment,state-funded churches
Samuel Gridley Howe,reformer focused on,the handicapped
Samuel Gridley Howe,founder of,schools for the deaf
Dorothea Dix,reformer focused on,the mentally ill
Horace Mann,position of,commissioner of education in Massachusetts
Horace Mann,advocate for,public schools
Massachusetts,location of,state system of free public education
Maine,enactment year of alcohol sale ban,1851
American Colonization Society,founding year,1816
American Colonization Society,founder of,Liberia
Liberia,location,Africa
Thomas Jefferson,supporter of,American Colonization Society
James Madison,supporter of,American Colonization Society
Henry Clay,supporter of,American Colonization Society
Bushrod Washington,relation to,George Washington (1st U.S. President)
Bushrod Washington,supporter of,American Colonization Society
Paul Cuffee,place of origin,"New Bedford, Massachusetts"
Paul Cuffee,occupation,sea captain
Paul Cuffee,number of people transported,38
Paul Cuffee,destination of transported people,Sierra Leone
Sierra Leone,colonial status,British colony
Richard Allen,position of,African Methodist Episcopal bishop
James Forten,occupation,businessman
Richard Allen,supporter of,colonization movement
James Forten,supporter of,colonization movement
Abraham Lincoln,supporter of,colonization
Elizabeth Freeman,plaintiff in lawsuit for,freedom
Quok Walker,plaintiff in lawsuit for,freedom
Saint Domingue,type of colony,sugar colony
Saint Domingue,year of slave revolt,1791
Gabriel,occupation,blacksmith
Gabriel,year of revolt attempt,1800
Gabriel,location of revolt attempt,"Richmond, Virginia"
Denmark Vesey,occupation,carpenter
Denmark Vesey,year of conspiracy,1822
Denmark Vesey,location of conspiracy,"Charleston, South Carolina"
David Walker,residence,Boston
David Walker,status,free black man
David Walker,author of,Walker's Appeal to the Coloured Citizens of the World
Walker's Appeal to the Coloured Citizens of the World,publication year,1829
Frederick Douglass,place of origin,Maryland
Frederick Douglass,status,runaway slave
Frederick Douglass,occupation,antislavery orator
Martin Delany,occupation,physician and editor
Henry Highland Garnet,occupation,Presbyterian minister
Harriet Tubman,role,conductor on Underground Railroad
Harriet Tubman,number of rescue trips,13
Harriet Tubman,number of slaves rescued,approximately 70
William Lloyd Garrison,place of residence,Massachusetts
William Lloyd Garrison,occupation,reformer
William Lloyd Garrison,place of conversion to immediatism,Baltimore
William Lloyd Garrison,founder of,the Liberator
the Liberator,first publication date,"January 1, 1831"
American Anti-Slavery Society,founding year,1833
William Lloyd Garrison,founder of,American Anti-Slavery Society
Frederick Douglass,supporter of,William Lloyd Garrison
Lewis Tappan,occupation,New York business partner
Arthur Tappan,occupation,New York business partner
Lewis Tappan,relation to,Arthur Tappan
Lewis Tappan,supporter of,American Anti-Slavery Society
Arthur Tappan,supporter of,American Anti-Slavery Society
Theodore Dwight Weld,former student at,Lane Seminary
Theodore Dwight Weld,occupation,antislavery lecturer
Lyman Beecher,action taken at Lane Seminary,expelled antislavery discussion participants
Nat Turner,leader of,slave revolt in Virginia
Nat Turner,slave revolt timing,months after first appearance of the Liberator
Georgia,reward offered for,William Lloyd Garrison's arrest
Georgia,reward amount,"$5,000"
Elijah P. Lovejoy,occupation,abolitionist editor
Elijah P. Lovejoy,year of death,1837
Elijah P. Lovejoy,place of death,"Alton, Illinois"
Liberty Party,founding year,1840
Free Soil Party,founding year,1848
Republican Party,founding year,1854
Abraham Lincoln,position of,President of the United States
Abraham Lincoln,year of election,1860
Utica Tract Society,location,"Utica, New York"
Charles Grandison Finney,practice,encouraging women to pray in each other's homes
Lydia Finney (wife of Charles Finney),organizer of,New York Female Moral Reform Society
New York Female Moral Reform Society,year of organization,1834
Lydia Maria Child,author of,An Appeal in Favor of That Class of Americans Called Africans
Harriet Beecher Stowe,author of,Uncle Tom's Cabin
Sarah Grimké,place of birth,"Charleston, South Carolina"
Angelina Grimké,place of birth,"Charleston, South Carolina"
Sarah Grimké,sister of,Angelina Grimké
Sarah Grimké,religious affiliation,Quaker
Angelina Grimké,religious affiliation,Quaker
Sarah Grimké,place of residence,Philadelphia
Angelina Grimké,place of residence,Philadelphia
Angelina Grimké,author of,An Appeal to the Christian Women of the South
An Appeal to the Christian Women of the South,year of publication,1836
Sarah Grimké,author of,An Epistle to the Clergy of the Southern States
An Epistle to the Clergy of the Southern States,year of publication,1836
Angelina Grimké,spouse of,Theodore Weld
Theodore Weld,occupation,abolitionist
Angelina Grimké,year of marriage,1839
Theodore Weld,co-editor of,American Slavery as It Is
Angelina Grimké,co-editor of,American Slavery as It Is
Sarah Grimké,co-editor of,American Slavery as It Is
Abby Kelley,appointed to,business committee of the American Anti-Slavery Society
Abby Kelley,year of appointment to business committee,1839
Lewis Tappan,former financial backer of,American Anti-Slavery Society
Arthur Tappan,former financial backer of,American Anti-Slavery Society
American and Foreign Anti-Slavery Society,type of organization,rival abolitionist organization
World's Anti-Slavery Convention,location,London
World's Anti-Slavery Convention,year of occurrence,1840
Lucretia Mott,participant in,World's Anti-Slavery Convention
Elizabeth Cady Stanton,participant in,World's Anti-Slavery Convention
Lucretia Mott,religious affiliation,Quaker
Lucretia Mott,occupation,abolitionist
Elizabeth Cady Stanton,spouse of,Henry Stanton
Henry Stanton,occupation,abolitionist
Mississippi,jurisdiction enacting first married women's property act,United States
Mississippi,year of enacting married women's property act,1839
New York,year of enacting married women's property act,1848
Panic of 1839,type of event,economic panic
Frances Wright,also known as,Fanny Wright
Frances Wright,place of origin,Scotland
Robert Owen,founder of,"utopian commune at New Harmony, Indiana"
Nashoba,location,Tennessee
Nashoba,type of place,experimental community
Nashoba,founder,Frances Wright
Robert Dale Owen,son of,Robert Owen
Robert Dale Owen,romantic partner of,Frances Wright
Frances Wright,publisher of,Free Enquirer
Seneca Falls Convention,location,"Seneca Falls, New York"
Seneca Falls Convention,year of occurrence,1848
Seneca Falls Convention,approximate number of attendees,300
Seneca Falls Convention,organizer,Lucretia Mott
Seneca Falls Convention,organizer,Elizabeth Cady Stanton
Frederick Douglass,participant in,Seneca Falls Convention
Frederick Douglass,place of residence,Rochester
Seneca Falls Convention,number of signers of Declaration of Sentiments,100
Declaration of Sentiments,modeled on,U.S. Declaration of Independence
"Worcester, Massachusetts",location of,first national women's rights convention
First national women's rights convention,year of occurrence,1850
First national women's rights convention,approximate number of participants,"1,000"
Nineteenth Amendment to the U.S. Constitution,year of passage,1920
Nineteenth Amendment to the U.S. Constitution,subject matter,women's suffrage
Sarah Grimké,author of,Letters on the Equality of the Sexes
Letters on the Equality of the Sexes,year of publication,1838
Angelina Grimké,first woman to,address a Massachusetts state legislature
Pennsylvania Hall,location,Philadelphia
Pennsylvania Hall,function,headquarters of Philadelphia Female Anti-Slavery Society
Pennsylvania Hall,year of burning,1838
Presbyterian Mother's Magazine,type of publication,religious magazine
Presbyterian Mother's Magazine,religious affiliation,Presbyterian
Baptist Mother's Monthly Journal,type of publication,religious magazine
Baptist Mother's Monthly Journal,religious affiliation,Baptist
Philadelphia Female Anti-Slavery Society,type of organization,female antislavery organization
Philadelphia Female Anti-Slavery Society,location,Philadelphia
John Adams,spouse of,Abigail Adams
Astor Place Riot,location,New York City
Astor Place Riot,year of occurrence,1849
Astor Place Riot,number of deaths,25
Astor Place Theater,location,New York City
Edwin Forrest,occupation,American actor
William Charles Macready,occupation,English actor
William Charles Macready,nationality,English
Thomas D. Rice,occupation,actor
Thomas D. Rice,creator of,Jim Crow character
Thomas D. Rice,year of creating Jim Crow character,1828
E. Z. C. Judson,pen name,Ned Buntline
E. Z. C. Judson,occupation,journalist
Ned Buntline,organizer of,Astor Place Riot
George Lippard,occupation,author
Immanuel Kant,nationality,German
Immanuel Kant,occupation,philosopher
Ludwig van Beethoven,occupation,composer
William Wordsworth,nationality,English
William Wordsworth,occupation,poet
Percy Bysshe Shelley,nationality,English
Percy Bysshe Shelley,occupation,poet
Lord Byron,nationality,English
Lord Byron,occupation,poet
Catharine Beecher,critic of,Grimké sisters' public speaking
David Crockett,occupation,Congressman
David Crockett,author of,autobiography
David Crockett,year of autobiography publication,1834
Marquis de Lafayette,participant in,farewell tour of United States
Marquis de Lafayette,year of U.S. farewell tour,1824
Frances Wright,traveling companion of,Marquis de Lafayette during 1824 U.S. tour
Washington Irving,occupation,author
James Fenimore Cooper,occupation,author
Washington Irving,place of residence,New York
James Fenimore Cooper,place of residence,New York
Washington Irving,author of,Rip Van Winkle
Washington Irving,author of,The Legend of Sleepy Hollow
James Fenimore Cooper,creator of,Natty Bumpo (fictional character)
James Fenimore Cooper,author of,The Deerslayer
James Fenimore Cooper,author of,The Last of the Mohicans
Thomas Cole,occupation,painter
Thomas Cole,associated with,Hudson River School
Asher Durand,associated with,Hudson River School
Frederic Edwin Church,associated with,Hudson River School
Thomas Cole,author of,The Course of Empire (painting series)
Thomas Cole,author of,The Voyage of Life (painting series)
George Caleb Bingham,occupation,painter
Ralph Waldo Emerson,occupation,essayist
Ralph Waldo Emerson,occupation,lecturer
Ralph Waldo Emerson,former occupation,Unitarian minister
Ralph Waldo Emerson,member of,Transcendental Club
George Ripley,founder of,Brook Farm (utopian community)
George Ripley,member of,Transcendental Club
Margaret Fuller,editor of,Dial (journal)
Margaret Fuller,member of,Transcendental Club
Henry David Thoreau,member of,Transcendental Club
Ralph Waldo Emerson,author of,The American Scholar (1837 address)
Ralph Waldo Emerson,author of,Self-Reliance (1841 essay)
Margaret Fuller,author of,Woman in the Nineteenth Century
Margaret Fuller,columnist for,New York Tribune
Horace Greeley,associated with,New York Tribune
Henry David Thoreau,author of,Walden
Walden,publication year,1854
Henry David Thoreau,author of,Resistance to Civil Government (essay)
Henry David Thoreau,author of,Civil Disobedience (essay)
Henry David Thoreau,place of residence during experiment,"Walden Pond, near Concord, Massachusetts"
Nathaniel Hawthorne,occupation,novelist
Nathaniel Hawthorne,author of,The Scarlet Letter
Nathaniel Hawthorne,author of,The House of Seven Gables
Edgar Allan Poe,occupation,poet
Edgar Allan Poe,occupation,short story writer
Herman Melville,occupation,novelist
Herman Melville,author of,Moby Dick
Moby Dick,publication year,1851
Emily Dickinson,occupation,poet
Emily Dickinson,place of residence,"Amherst, Massachusetts"
Emily Dickinson,year of death,1886
John L. O'Sullivan,occupation,editor
John L. O'Sullivan,associated with,Young America (literary group)
John L. O'Sullivan,editor of,United States Magazine and Democratic Review
United States Magazine and Democratic Review,years of publication,1837 to 1859
Nathaniel Hawthorne,member of,Young America or Democratic Review
Herman Melville,member of,Young America or Democratic Review
Evert A. Duykinck,occupation,critic
Evert A. Duykinck,member of,Young America or Democratic Review
John Greenleaf Whittier,occupation,poet
John Greenleaf Whittier,member of,Young America or Democratic Review
William Cullen Bryant,occupation,poet
William Cullen Bryant,member of,Young America or Democratic Review
Walt Whitman,occupation,poet
Walt Whitman,occupation,journalist
Walt Whitman,member of,Young America circle
Walt Whitman,place of residence,New York
Walt Whitman,author of,Leaves of Grass
Leaves of Grass,publication year,1855
Frederick Douglass,place of origin,Maryland
Frederick Douglass,former condition,runaway slave
Frederick Douglass,author of,Narrative of the Life of Frederick Douglass
Narrative of the Life of Frederick Douglass,publication year,1845
Frederick Douglass,occupation,abolitionist leader
Frederick Douglass,author of,What to the Slave Is the Fourth of July? (oration)
Harriet Jacobs,author of,Incidents in the Life of a Slave Girl
Incidents in the Life of a Slave Girl,publication year,1861
Harriet Beecher Stowe,author of,Uncle Tom's Cabin
Thaddeus Stevens,place of representation,Pennsylvania
Zachariah Chandler,position of,Senator
Zachariah Chandler,place of representation,Michigan
Abraham Lincoln,statement year regarding labor,1856
Daniel Webster,statement year regarding laboring people,1850
John Winthrop,author of,City upon a Hill prophecy
Nat Turner,leader of,"slave rebellion in Southampton County, Virginia"
Nat Turner rebellion,date of occurrence,August 1831
Nat Turner rebellion,location of,"Southampton County, Virginia"
Frederick Bailey,age when sent to Edward Covey,16 years old
Frederick Bailey,place of residence when enslaved,Eastern Shore of Maryland
Edward Covey,occupation,small farmer
Edward Covey,reputation as,Negro-breaker
Edward Covey,location of farm,Eastern Shore of Maryland
Frederick Bailey,later name,Frederick Douglass
Frederick Bailey,escaped from,Maryland
Frederick Bailey,escaped to,Massachusetts
Frederick Douglass,author of,"Narrative of the Life of Frederick Douglass, an American Slave, Written by Himself"
Frederick Douglass,occupation,antislavery orator
Frederick Douglass,occupation,abolitionist
Frederick Douglass,role of,public advocate for black civil rights
Frederick Douglass,role of,supporter of women's suffrage
Frederick Douglass,position of,US minister to Haiti
Frederick Douglass,author of,two more autobiographies
Frederick Douglass,collaborator of,Abraham Lincoln
Edward Covey,occupation,renter of enslaved workers
Thomas Auld,role of,owner of Frederick Bailey (Douglass)
Andrew Jackson,participant in,Battle of New Orleans
Battle of New Orleans,year of occurrence,1815
Louisiana,date of admission to Union,just as the War of 1812 began
Louisiana,acquisition by,United States under President Jefferson
Louisiana,time as U.S. territory before statehood,dozen years
The South in 1860,number of slave states,15
The South in 1860,total population,12 million
The South in 1860,percentage of total U.S. population,nearly 40 percent
Mason-Dixon line,location,between Maryland and Pennsylvania
Upper South,geographical extent,"from the Ohio River and the Mason-Dixon line through North Carolina, Tennessee, and Missouri"
Deep South,geographical extent,southward from Upper South to the Gulf of Mexico
Delaware,status of free blacks versus slaves,free blacks outnumbered slaves
District of Columbia,status of free blacks versus slaves,free blacks outnumbered slaves
Maryland,status of free blacks versus slaves,free blacks nearly outnumbered slaves
James Henry Hammond,position of,Senator from South Carolina
James Henry Hammond,year of Senate speech,1858
United States,percentage of world cotton production,about 70 percent by 1858
Cotton,percentage of total U.S. exports value,at least half every year
Cotton,annual value by end of 1850s,at least $100 million
Eli Whitney,creator of,cotton gin
Eli Whitney,occupation,tutor in Connecticut
Eli Whitney,location of cotton gin invention,Georgia plantation
Eli Whitney,year of cotton gin invention,1792
Florida,seller to United States,Spain
Florida,year of sale to United States,1819
Congress,year of ending African slave trade,1808
Domestic slave trade in 1790s,estimated number transported,"40,000 or 50,000"
Domestic slave trade in 1820s,estimated number transported,"150,000"
Domestic slave trade in 1830s,estimated number transported,"as high as 250,000"
Domestic slave trade in 1850s,estimated number transported,"as high as 250,000"
Percentage of individually transported slaves,estimated by historian Michael Tadman,as many as 60 or 70 percent
William H. Seward,position of,Senator from New York
William H. Seward,year of trip to Virginia,1856
Daniel R. Goodloe,place of origin,North Carolina
Baltimore,population in 1860,"over 200,000"
Baltimore,economic basis,"shipbuilding, manufacturing, and trade"
Richmond's Tredegar Iron Works,number of workers,900 free and enslaved
Richmond's Tredegar Iron Works,products manufactured,"weapons, rails, and locomotives"
U.S. cotton crop in 1790,production in bales,"just over 3,000 bales"
U.S. cotton crop in 1860,production in bales,3.8 million bales
Cotton bale,weight,400-500 pounds each
United States,percentage of world cotton supply,two-thirds
Cotton,status as export,most valuable American export since 1840
Enslaved workforce in 1860,total valuation,$3 billion
Enslaved workforce in 1860,percentage of total U.S. wealth,about 20 percent
Samuel Walker,occupation,Louisiana sugar planter
Samuel Walker,year of diary entry,1856
Southern states in 1790,percentage of total U.S. population,51.3 percent
Southern states in 1790,population,2 million out of 3.9 million
Southern states in 1860,percentage of total U.S. population,38.9 percent
Southern states in 1860,population,12.2 million out of 31.4 million
Southern representation in House of Representatives in 1790,percentage of seats,46 percent
Southern representation in House of Representatives in 1860,percentage of seats,35 percent
Cyrus McCormick,place of business origin,Virginia
Cyrus McCormick,place of business relocation,Chicago
Cyrus McCormick's business,evolution into,International Harvester Company
Haiti,status regarding slavery,site of world's only successful slave revolution
Britain,year of abolishing slavery in colonies,1834
France,year of abolishing slavery in colonies,1848
Enslaved population,percentage of antebellum southern population,about a third
Typical slave in 1860,probable living arrangement,"farm with owner's family, perhaps an overseer, and about 30 or 40 other African Americans"
Plantation,definition,farms with 20 slaves or more
Large plantations,percentage of enslaved population living on,no more than 10 percent lived on plantations with more than 100
Sea Island slaves,labor system of,task system
Sea Island slaves,allowed activity of,hunting
Sea Island slaves,allowed activity of,fishing
Sea Island slaves,allowed activity of,tending small gardens or livestock
Sea Island slaves,allowed activity of,performing odd jobs for pay
Cotton plantation slaves,labor system of,gang system
Gang system,led by,single slave driver
Solomon Northup,former location of enslavement in,Louisiana
Slave field hands,day off of,Sundays
Slave field hands,holiday period of,between Christmas and New Year's Day
Edward Covey,employment relationship with,Frederick Douglass
Edward Covey,employment basis with Frederick Douglass,hired basis
Venture Smith,work arrangement in,colonial Connecticut
Frederick Douglass,work arrangement with,hired his own time in Baltimore
Frederick Law Olmsted,occupation of,northern traveler
Slave mothers,average age of first children,about 21
Census of 1860,percentage of African Americans described as mulattoes,13 percent
Charleston,location of sale of,fancy girls
New Orleans,location of sale of,fancy girls
Mary Boykin Chesnut,state of residence,South Carolina
Charles Deslondes,birthplace of,Haiti
Charles Deslondes,role in,1811 Louisiana slave uprising
Charles Deslondes,location of uprising,German Coast of Louisiana
Charles Deslondes,method of execution,burned alive
Gabriel,occupation of,Richmond blacksmith
Gabriel,year of planned revolt,1800
Gabriel,location of planned revolt,Richmond
Denmark Vesey,occupation of,free black seaman
Denmark Vesey,year of planned revolt,1822
Denmark Vesey,location of planned revolt,Charleston
Gullah Jack,ethnicity of,Angolan
Gullah Jack,role of,shaman
Gullah Jack,collaborator of,Denmark Vesey
Nat Turner,occupation of,slave preacher
Nat Turner,location of residence,"Southampton County, Virginia"
Nat Turner,year of revolt,1831
Nat Turner's revolt,number of white deaths,about 60
Slaveholders,percentage of white population in 1790,one third
Slaveholders,percentage of white population in 1860,one quarter
Planter families,percentage of slave-owning households in 1860,12 percent
Planter aristocracy,number of families owning over 100 slaves in 1860,"about 2,300"
Small slaveholders,percentage owning no more than five slaves,nearly half
North Carolina state legislature,percentage of slaveholders in 1860,86 percent
South Carolina state legislature,percentage of slaveholders in 1860,82 percent
Arkansas state legislature,percentage of slaveholders in 1860,42 percent
South Carolina state legislature,percentage of planters in 1860,55 percent
Arkansas state legislature,percentage of planters in 1860,13 percent
John Andrews,occupation of,Louisiana sugar planter
John Andrews,owner of,Belle Grove mansion
Belle Grove mansion,number of rooms,75
Belle Grove mansion,construction period,late 1850s
Nottoway mansion,number of rooms,64
Frederick Law Olmsted,occupation of,journalist
Frederick Law Olmsted,location of travel,Red River country of Louisiana
Frederick Law Olmsted,time period of travel,late 1850s
Charles Pettigrew,occupation of,Reverend
Thomas Ruffin,position of,North Carolina chief justice
Hispaniola,estimated population in 1548,no more than 500 Indians
Hispaniola,estimated earlier population,"as many as 300,000 Indians"
Indian slave trade,year of activity,1715
Columbus,year of return to Europe,1494
Syphilis,year of first European outbreak,1494
Hernando de Soto,route of march through,southeastern United States
Pilgrims,year of arrival,1620
Plymouth colony,location in,coastal Massachusetts
William Bradford,position of,governor of Plymouth colony
US Census Bureau,definer of,frontier definition
Maize,region of spread in sixteenth century,southern Europe
White potatoes,region of domestication,Andes
White potatoes,region fed by eighteenth century,Ireland to Russia
Sweet potatoes,place of origin,South America
Manioc root,alternative name,cassava
Manioc root,alternative name,tapioca
Manioc root,place of origin,South America
Manioc root,regions of spread,"Africa, India, and Indonesia"
Cotton (most widely cultivated variety),origin from,Native Americans
Horses,effect on,buffalo hunters on North American Great Plains
Rice,path of spread,Africa to South Carolina and Georgia
Bananas,path of spread,Asia to Africa to the Caribbean
Human population,period of doubling,1650 to 1800
Ferdinand and Isabella,rulers of,Spain
Fray Antonio de Montesinos,religious order,Dominican
Fray Antonio de Montesinos,year of denunciation,1511
Pope Paul III,year of declaration,1537
Fray Bartolomé de Las Casas,place of growing up,Hispaniola
Fray Bartolomé de Las Casas,position of,"bishop of Chiapas, Mexico"
King Charles I,alternative title,Emperor Charles V of the Holy Roman Empire
Council of Valladolid,year convened,1550
Council of Valladolid,location,"Valladolid, Spain"
Fray Juan Ginés de Sepúlveda,participant in,Council of Valladolid debate
Michel de Montaigne,nationality,French
Michel de Montaigne,year of publication,1580
Michel de Montaigne,subject of essays,Brazilian Indians
Massachusetts Bay colony,symbol,image of half-naked Indian
Native Americans,age of histories in 1492,"15,000 years old"
Columbus,year of death,1506
Theodor de Bry,year of engraving,1594
Matthaus Merian,year of engraving,1634
John Smith,year of capture,December 1607
English colonists in Virginia,date of arrival,eight months before December 1607
English colonists,location of arrival,Chesapeake Bay
Powhatan,title given by English,emperor
Pocahontas,approximate age at rescue,no more than 13 years old
Pocahontas,daughter of,Powhatan
John Smith,Indian name giver,Powhatan
John Smith,position given by Powhatan,werowance (local chief)
Captain Christopher Newport,time of arrival from England,ten months after December 1607
King James I,title,King of England
Powhatan,gift received,copper crown
Powhatan,gift received,scarlet cloak
Powhatan,gift given,beaded deerskin mantle
Powhatan's mantle,current location,English museum
John Smith,region named by,New England
Virginia,type of colony,Chesapeake colony
Maryland,type of colony,Chesapeake colony
Chesapeake colonies,main crop,tobacco
Chesapeake colonies,initial labor source,English laborers
Chesapeake colonies,later labor source,African slaves
New England,settlers,Puritans
Puritans,type of dissident,religious
New England,economic base,"family farms, small villages, and active commerce"
Protestant Reformation,period of beginning,early sixteenth century
England,religious affiliation in conflicts,Protestant
Spain,religious affiliation in conflicts,Catholic
Canary Islands,location,off the African coast
Spanish,colonial activity in Canary Islands,conquering and enslaving natives
Canary Islands,product,sugar
Treaty of Tordesillas,beneficiary,Portuguese
Vasco da Gama,year of rounding Cape of Good Hope,1497
Portuguese forts and trading posts,extent of reach,"Africa, India, Southeast Asia, China and Japan"
Brazil,colonial power,Portugal
Brazil,initial product,material for making dye
Brazil,later product,sugar
Elmina,location,Gold Coast
Elmina,conversion to,slave trading fort
Portuguese,relation to,kingdom of the Kongo
Kongo,location,West Central Africa
Angola,colonial developer,Portugal
Angola,location,south of Kongo
Portugal,number of Africans sent to America before 1640,"as many as 650,000"
Portugal,period of domination,first century of Atlantic slave trade
Plantation mistresses,responsibility for,running plantation households
Mississippi,year of first married woman's property law,1839
Slaves,performers of,"cooking, preserving food, cleaning, sewing, weaving, health care, and childcare"
Presbyterian denomination,popular with,southern elite
Methodist denomination,popular with,southern elite
Methodists,attracted members from,"all classes including slaves, middling white women, and plantation mistresses"
Baptists,attracted members from,"all classes including slaves, middling white women, and plantation mistresses"
South Carolina,legal status of divorce,banned entirely
Yeomen,ownership of,land and equipment
Artisans,ownership of,land and equipment
Poor whites,property ownership level,little or no property
Virginia,year of law requiring newly emancipated blacks to leave state,1806
Virginia,time period given to newly emancipated blacks to leave state,12 months
Free people of color in slave states and District of Columbia,population count in 1860 census,over a quarter million
Free people of color in slave states and District of Columbia,percentage of total population in 1860,approximately 2 percent
Thomas Day,occupation,cabinetmaker in North Carolina
William Johnson,occupation,barber in Natchez
Thomas Jefferson,author of,Notes on the State of Virginia
Thomas Jefferson,decade of writing Notes on the State of Virginia,1780s
Samuel G. Morton,occupation,professor at University of Pennsylvania
Samuel G. Morton,author of,Crania Americana
Crania Americana,publication year,1839
Josiah Nott,occupation,physician in Alabama
George Gliddon,occupation,Egyptologist
Josiah Nott,co-author of,Types of Mankind
George Gliddon,co-author of,Types of Mankind
Types of Mankind,publication year,1854
Methodists,year of plans to excommunicate slaveholding members,1784
Presbyterians,year of request for slavery's final abolition,1787
Baptists,year of calling slavery a violent deprivation of rights,1789
Methodist denomination,year of split over slavery,1845
Baptist denomination,year of split over slavery,1845
Presbyterian denomination,year of split into Old School and New School,1837
Thornton Stringfellow,occupation,Baptist minister in Virginia
Georgia,year of dropping property requirement for suffrage,1789
Maryland,year of dropping property requirement for suffrage,1801
South Carolina,year of dropping property requirement for suffrage,1810
Presidential election of 1824,percentage of adult white males who cast ballots nationally,26.5 percent
Presidential election of 1840,percentage of adult white males who cast ballots nationally,78 percent
Virginia,participation rate in 1824 presidential election,11.5 percent
Maryland,participation rate in 1824 presidential election,53.7 percent
Louisiana,participation rate in 1840 presidential election,39.4 percent
Tennessee,participation rate in 1840 presidential election,89.6 percent
Virginia,participation rate in 1840 presidential election,54.6 percent
Warwick County (Virginia Tidewater),white population of,620
Shenandoah County (Virginia west),white population of,"17,000"
Virginia constitutional convention,dates of,1829-1830
Benjamin Watkins Leigh,role of,Eastern delegate at Virginia constitutional convention
Virginia constitutional convention,year of adjournment,1830
Nat Turner's slave revolt,date of occurrence,1831
Thomas Jefferson Randolph,relationship to,Thomas Jefferson (grandson and namesake)
Thomas Jefferson Randolph,role of,Proposer of 1840 emancipation plan
House of Delegates (Virginia),debate period on Randolph's proposal,January 1832
Thomas R. Dew,position of,Professor at College of William and Mary
Abel Upshur,occupation,Judge
Andrew Jackson,position of,President of the United States
John C. Calhoun,position of,Senator from South Carolina
John C. Calhoun,year of slavery defense speech,1837
James Henry Hammond,position of,Senator from South Carolina
James Henry Hammond,year of mud-sill speech,1858
George Fitzhugh,author of,"Sociology for the South, or the Failure of Free Society"
"Sociology for the South, or the Failure of Free Society",publication year,1854
George Fitzhugh,author of,"Cannibals All! Or, Slaves without Masters"
"Cannibals All! Or, Slaves without Masters",publication year,1857
James G. Birney,place of residence,Kentucky
James G. Birney,member of,American Anti-Slavery Society
James G. Birney,role of,Presidential candidate for Liberty Party
James G. Birney,presidential candidacy year,1840
Hinton Rowan Helper,place of origin,North Carolina
Hinton Rowan Helper,author of,The Impending Crisis of the South: How to Meet It
The Impending Crisis of the South: How to Meet It,publication year,1857
Fayetteville,location in,North Carolina
Fayetteville town election,year of occurrence,1834
Andrew Jackson,years as President,six years (by 1834)
John Quincy Adams,position of,President of the United States (predecessor to Jackson)
Democratic-Republicans,alternative name,Democrats
Second American Party System,participants,Democrats and Whigs
Electoral College,creator of,The Framers
War of 1812,followed by period known as,Era of Good Feelings
Federalist Party,last presidential candidate year,1816
Era of Good Feelings,characterized by,one-party politics
Daniel Webster,party affiliation,Federalist Party
Daniel Webster,region of political activity,New England
Rufus King,state of residence,New York
Rufus King,party affiliation,Federalist Party
Rufus King,electoral votes received in 1816,34
James Monroe,state of residence,Virginia
James Monroe,party affiliation,Republican
James Monroe,electoral votes received in 1816,183
Henry Clay,state of residence,Kentucky
Henry Clay,party affiliation,Republican
Henry Clay,role in 1812,War Hawk
John C. Calhoun,state of residence,South Carolina
John C. Calhoun,party affiliation,Republican
John C. Calhoun,role in 1812,War Hawk
John Quincy Adams,state of residence,Massachusetts
John Quincy Adams,party affiliation,Republican
Fourteenth Congress,assembly date,fall of 1815
President Madison,proposal to Congress,new national bank
President Madison,proposal to Congress,protective tariff
President Madison,proposal to Congress,constitutional means for internal improvements
First Bank of the United States,opposition by,President Madison
Congress,action in 1816,chartered Second Bank of the United States
Second Bank of the United States,charter term,20 years
Second Bank of the United States,capital amount,$35 million
Second Bank of the United States,number of directors,25
Second Bank of the United States,bonus payment to government,$1.5 million
John C. Calhoun,proposer of,Bonus Bill
