Sujeto,Relación,Objeto,origen
Don Juan Henríquez,título erróneo atribuido por,Conde de Escalante,chile4_11662
Don Juan Henríquez,fecha de recibimiento como Gobernador,30 de octubre de 1670,chile4_11669
Don Juan Henríquez,cargo de,Gobernador de Chile,chile4_11514
Don Juan Henríquez,lugar de partida,Callao en septiembre de 1670,chile4_11667
Don Juan Henríquez,fecha de llegada a,Perú a mediados de 1670,chile4_11666
Don Juan Henríquez,fecha de partida,primeros días de junio de 1669,chile4_11665
Don Juan Henríquez,lugar de partida,Cádiz,chile4_11664
Don Juan Henríquez,cargo de,Gobernador del reino de Chile,chile4_11663
Don Juan Henríquez,fecha de partida de Concepción a campaña,22 de diciembre de 1670,chile4_11686
Don Juan Henríquez,lugar atravesado en campaña,Biobío,chile4_11687
Don Juan Henríquez,fecha de llegada a Concepción,30 de octubre de 1670,chile4_11668
Don Juan Henríquez,fecha de recibimiento como Presidente de Real Audiencia,13 de mayo de 1671,chile4_12014
Don Juan Henríquez,cargo de,presidente de Chile,chile4_11762
Don Juan Henríquez,fecha de entrada a Santiago,12 de mayo de 1671,chile4_12013
Don Juan Henríquez,período de gobierno,1670-1682,chile4_12009
Don Juan Henríquez,cargo de,Gobernador de Chile,chile4_12008
Don Juan Henríquez,cargo de,Gobernador,chile4_12725
Don Juan Henríquez,rol en construcción de templos,promotor y patrocinador,chile4_12291
Don Juan Henríquez,cargo de,Gobernador de Chile,chile4_13664
Don Juan Henríquez,iniciativa de censo,muestras generales de población viril del reino,chile4_12314
Don Juan Henríquez,cargo,Gobernador de Chile,chile4_12290
Don Juan Henríquez,período mencionado,1656 a 1718,chile4_14899
Don Juan Henríquez,fecha de regreso a Concepción,primeros días de febrero de 1671,chile4_11695
Don Juan Ignacio Molina,tipo de escritos,historia natural,chile4_19957
Don Juan Ignacio Molina,tipo de autor,cronista,chile4_20070
Don Juan Ignacio Molina,lugar de residencia prolongada,Italia,chile4_19958
Don Juan Ignacio Molina (abate),autor de,Compendio de la historia civil,chile1_5279
Don Juan José de Vértiz,cargo posterior,gobernador de Buenos Aires,chile4_15723
Don Juan Pérez de Guzmán,número de soldados bajo mando,Cerca de tres mil soldados,chile4_11876
Don Juan Pérez de Guzmán,cargo,Maestre de campo de Panamá,chile4_11834
Don Juan Rodulfo Lisperguer,fecha de llegada de noticias a Lima,mediados de abril,chile4_10933
Don Juan Rodulfo Lisperguer,cargo,procurador enviado al Perú por el cabildo de Santiago,chile4_10932
Don Juan Sempere y Guarinos,autor de,Considerations sur les causes de la grandeur et de la décadence de la monarchie espagnole,chile1_10165
Don Juan Velásquez de Covarrubias,cargo de trabajo,Gobernador de la plaza de Valparaíso,chile4_15360
Don Juan de Austria,acción en octubre de 1666,abandono secreto de la Corte,chile4_11450
Don Juan de Cárdenas y Añasco,comandante de,Refuerzo de tropas desde el Perú,chile1_9988
Don Juan de Dios Vial del Río,miembro propietario de,Junta o consejo superior de instrucción pública,chile4_6375
Don Juan de Oyarzabal,categoría,Personaje notable del período 1797-1808,chile4_16649
Don Juan de Pineda,participante en pendencia con,Don Alonso de Ercilla,chile1_4474
Don Juan de Pineda,pena conmutada por,Don García Hurtado de Mendoza,chile1_4480
Don Juan de Pineda,destino de destierro,Perú,chile1_4482
Don Juan de Pineda,origen geográfico,Sevilla,chile1_4473
Don Juan de Salazar,cargo de,capitán de la plaza de Boroa,chile4_10748
Don Juan de Salazar,cargo de,sargento mayor de las tropas del reino,chile4_10749
Don Juan de Salazar,parentesco con Acuña,cuñado,chile4_10750
Don Juan de Salazar,comandante de,ejército sacado de Concepción,chile4_10900
Don Juan de Salazar,acción con caballos,mandó degollar seis mil caballos de remuda,chile4_10905
Don Juan de Salazar,destino de navegación desde Valdivia,Concepción,chile4_10906
Don Juan de la Cruz Cano i Olmedilla,autor de,Carta del estrecho de Magallanes para la traducción castellana del viaje de Byron,chile4_16604
Don Juan de la Cruz Cano i Olmedilla,lugar de estudio de geografía y dibujo de mapas,Francia,chile4_16603
Don Juan de la Cruz Cano i Olmedilla,ocupación,Geógrafo español,chile4_16602
Don Juan de la Cruz Cano i Olmedilla,autor de,Carta de la América,chile4_16606
Don Juan de la Cueva Lugo,condición de,Preso y procesado,chile4_13670
Don Juan de la Cueva Lugo,cargo de,Oidor de la Audiencia de Santiago,chile4_13669
Don Juan de la Peña Salazar,cargo de,Oidor,chile4_11497
Don Judas Tadeo Reyes,informante de,Pérez García,chile4_19830
Don Judas Tadeo Reyes,cargo,secretario de gobierno,chile4_19829
Don Julián de Arriaga,cargo de trabajo,ministro de Indias,chile4_15718
Don Julián de Cortázar,cargo eclesiástico posterior,Arzobispo de Nueva Granada,chile4_9116
Don Julián de Cortázar,rol en conflictos de Chile,Mediador entre autoridades,chile4_9118
Don Julián de Cortázar,lugar de destino,Santa Fe de Bogotá,chile4_9117
Don Julián de Cortázar,cargo eclesiástico previo,Obispo de Tucumán,chile4_9115
Don Lope Antonio de Munive,cargo de,oidor de la audiencia de Lima,chile4_11461
Don Lope Antonio de Munive,cargo designado por el Virrey,visitador del reino de Chile,chile4_11462
Don Lope Antonio de Munive,cargo de,Visitador judicial,chile4_11495
Don Lope de Ulloa,cargo de trabajo,Gobernador de Chile,chile4_8314
Don Lope de Ulloa,colaborador de,Padre Luis de Valdivia,chile4_8325
Don Lope de Ulloa,fecha de recibimiento de juramento por el Cabildo,18 de abril de 1618,chile4_8326
Don Lope de Ulloa,fecha de recepción de confirmación de título,Marzo de 1619,chile4_8328
Don Lope de Ulloa,propósito de gobierno,Suprimir el servicio personal de los indígenas,chile4_8332
Don Lope de Ulloa,fecha de ordenanza sobre servicio personal,Junio de 1618,chile4_8334
Don Lope de Ulloa,fecha de juramento ante la Real Audiencia,25 de mayo de 1618,chile4_8327
Don Lope de Ulloa,gobernador de,Chile,chile4_8340
Don Lope de Ulloa,cargo de gobernador en,1621,chile4_9236
Don Lope de Ulloa,petición al Rey sobre negros,Mil negros para venta en Chile,chile4_8335
Don Lope de Ulloa y Lemos,cargo de,Gobernador de Chile,chile4_8282
Don Lope de Ulloa y Lemos,lugar de origen,Galicia,chile4_8283
Don Lope de Ulloa y Lemos,cargo anterior de,Capitán de la Compañía de Gentiles Hombres de guardia del Virrey,chile4_8284
Don Lope de Ulloa y Lemos,cargo anterior de,General de la caballería del Perú,chile4_8285
Don Lope de Ulloa y Lemos,cargo anterior de,Miembro de la junta de guerra del Perú,chile4_8286
Don Lope de Ulloa y Lemos,cargo de,Prefecto de congregación de seglares de la Compañía de Jesús en Lima,chile4_8287
Don Lope de Ulloa y Lemos,fecha de nombramiento como Gobernador de Chile,23 de noviembre de 1617,chile4_8294
Don Lope de Ulloa y Lemos,miembro de,Séquito del conde de Monterrey,chile4_8288
Don Lope de Ulloa y Lemos,cargo previo de,Gobernador de Chile,chile4_8558
Don Lope de Ulloa y Lemos,lugar de fallecimiento,ciudad de Concepción,chile4_8519
Don Lope de Ulloa y Lemos,fecha de fallecimiento,cuatro días antes del 12 de diciembre de 1620,chile4_8518
Don Lope de Ulloa y Lemos,fecha de llegada a Chile,12 de enero de 1618,chile4_8295
Don Lorenzo de Arbieto,autor de,memoria sobre combate de Los Robles,chile4_9616
Don Lorenzo de Arbieto,cargo de,Secretario del Gobernador Lazo de la Vega,chile4_9555
Don Lorenzo de Arbieto,participante herido en,combate de Los Robles,chile4_9617
Don Luis Enríquez de Guzmán,título nobiliario,conde de Alba de Liste,chile4_10934
Don Luis Enríquez de Guzmán,título nobiliario,marqués de Villaflor,chile4_10935
Don Luis Enríquez de Guzmán,cargo,virrey del Perú,chile4_10936
Don Luis Fernández de Córdoba,cargo interino,gobernador de Chile,chile4_9457
Don Luis Fernández de Córdoba y Arce,fecha de carta al Rey,1 de febrero de 1627,chile4_8298
Don Luis Fernández de Córdoba y Arce,cargo de,Gobernador de Chile,chile4_8266
Don Luis Muñoz de Guzmán,impulsor de,parlamento con los indios araucanos,chile4_20062
Don Luis Muñoz de Guzmán,impulsor de,construcción del canal de Maipo,chile4_20061
Don Luis Muñoz de Guzmán,categoría,Personaje notable del período 1797-1808,chile4_16647
Don Luis Muñoz de Guzmán,protector de,Academia de San Luis,chile4_20063
Don Luis Nee,nacionalidad,francés domiciliado en España,chile4_16370
Don Luis Nee,ocupación,botánico,chile4_16369
Don Luis Pereira,comandante de primer batallón con,100 hombres,chile4_2704
Don Luis de Sotomayor,hermano de,Don Alonso de Sotomayor,chile1_10720
Don Luis de Sotomayor,destino de viaje a,Lima,chile1_10729
Don Luis de Sotomayor,emisario de,Don Alonso de Sotomayor,chile1_10728
Don Luis de Sotomayor,fecha de partida a España,Primeros días de febrero de 1586,chile1_10731
Don Luis de Sotomayor,destino de viaje a,Madrid,chile1_10730
Don Luis de Toledo,custodio de prisioneros,Don Alonso de Ercilla y Don Juan de Pineda,chile1_4478
Don Luis de Velasco,posición en diferencias Ribera-García Ramón,favor de García Ramón,chile1_9761
Don Luis de Velasco,cargo de,virrey del Perú,chile1_10152
Don Luis de Velasco,cargo de,virrey del Perú,chile1_9732
Don Manuel Antonio González,cargo de,Diputado representante de Coquimbo,chile4_3723
Don Manuel Antonio López,autor de,Para la historia (reseña de la campaña de 1823-1824),chile4_3247
Don Manuel Antonio López,cargo de,ayudante del estado mayor del ejército libertador,chile4_3246
Don Manuel Fernández de Castelblanco,cargo de,Gobernador de Chiloé,chile4_16629
Don Manuel José Silva,cargo de trabajo,Diputado del departamento de Petorca ante el congreso nacional,chile4_5026
Don Manuel Julian Grajales,lugar de llegada en diciembre de 1807,Valparaíso,chile4_17680
Don Manuel Julian Grajales,fecha de llegada a Santiago,5 de abril,chile4_17699
Don Manuel Julian Grajales,lugar de origen,España,chile4_17698
Don Manuel Julian Grajales,número de personas vacunadas desde el 5 de abril,más de ocho mil personas,chile4_17700
Don Manuel Julian Grajales,cargo en mayo de 1813,Cirujano del ejército realista de Chile,chile4_17701
Don Manuel Julian Grajales,año de muerte,1855,chile4_17704
Don Manuel Julian Grajales,título otorgado en octubre de 1835,Miembro honorario de la facultad de medicina,chile4_17705
Don Manuel Julian Grajales,cargo de,Ayudante de la expedición de vacuna,chile4_17678
Don Manuel Lacunza,tipo de autor,ex-jesuita,chile4_20081
Don Manuel Miguéz,cargo de,Diputado representante de San Fernando,chile4_3713
Don Manuel Miguéz,fecha de presentación de proyecto de policía,4 de febrero de 1825,chile4_3714
Don Manuel Miguéz,fecha de proyecto sobre calles de Santiago,14 de enero de 1825,chile4_3715
Don Manuel Odriozola,autor de reimpresión de,Memorias geográficas de don Cosme Bueno,chile4_16642
Don Manuel Odriozola,cargo militar,Coronel,chile4_16641
Don Manuel Pérez Compás,ocupación,Comerciante de la junta central de vacuna,chile4_17690
Don Manuel Ricardo Trelles,cargo de,Archivero mayor del archivo jeneral de Buenos Aires,chile4_7313
Don Manuel Ricardo Trelles,conocido en literatura argentina por,Publicación de colecciones de documentos históricos,chile4_7314
Don Manuel Salas,opinión sobre la esclavitud,deshonor de la humanidad,chile4_1219
Don Manuel Salvador Carmona,grabador de,retrato de Fernando VI en París,chile4_16576
Don Manuel de Amat,autor de,Representación al rey sobre conveniencia de poner Chiloé bajo dependencia del Virreinato del Perú,chile4_16627
Don Manuel de Amat,cargo de,Virrey,chile4_16625
Don Manuel de Amat,cargo de,Presidente de Chile,chile4_16581
Don Manuel de Amat,cargo de,Virrey del Perú,chile4_16582
Don Manuel de Castelblanco,cargo,gobernador de Chiloé,chile4_16769
Don Manuel de Irigoyen,cargo de,Oidor y vice-presidente de la junta central de vacuna,chile4_17683
Don Manuel de Salas,cargo de,Secretario con voz y voto de la junta central de vacuna,chile4_17694
Don Manuel de Salas,impulsor de,cultivo del lino,chile4_20055
Don Manuel de Salas,tema de memoriales e informes,cuestiones económicas,chile4_19960
Don Manuel de Salas,creencia sobre educación,solo la propagación de la instrucción por medio de escuelas podía preparar a los hombres para ser buenos artesanos,chile4_19998
Don Manuel de Salas,estudioso de obras de,economistas del siglo XVIII,chile4_18421
Don Manuel de Salas,estudioso de obra,La riqueza de las naciones de Adam Smith,chile4_18422
Don Manuel de Salas,cargo de,Regidor del cabildo,chile4_17313
Don Mariano Egaña,enviado a,Inglaterra,chile4_6744
Don Mariano Egaña,cargo de,ministro de gobierno y de relaciones exteriores de Chile,chile4_3262
Don Mariano Egaña,fecha de vista fiscal,14 de mayo de 1832,chile4_6762
Don Mariano Egaña,cargo de trabajo,Fiscal de la Corte Suprema,chile4_6725
Don Mariano Egaña,cargo de trabajo,Fiscal de la corte suprema,chile4_5029
Don Mariano Pusterla,ascenso a,brigadier,chile4_18805
Don Mariano Pusterla,lugar de gobierno,Plaza de Valdivia,chile4_18794
Don Mariano Pusterla,cargo de,Comandante de ingenieros,chile4_18793
Don Mariano Torrente,autor de,Historia de la armoftracion hispanoamericana,chile4_2890
Don Martín Fernández de Navarrete,rol de,Erudito que dio indicaciones sobre archivos españoles,chile4_7307
Don Martín de Mujica,cargo de trabajo,maestre de campo,chile4_10370
Don Martín de Mujica,cargo anterior,gobernador de Chile,chile4_10754
Don Martín de Mujica,fecha de arribo a Chile,8 de mayo de 1646,chile4_10373
Don Martín de Mujica,cargo de,Gobernador del reino de Chile,chile4_10486
Don Martín de Mujica,fecha de entrada en Santiago,19 de septiembre,chile4_10485
Don Martín de Mujica,cargo de trabajo,Gobernador de Chile,chile4_10372
Don Martín de Mujica,fecha de carta al Rey,26 de mayo de 1647,chile4_10488
Don Martín de Mujica,sucesor de,Marqués de Baides,chile4_10371
Don Mateo Arnaldo Hoevel,origen,sueco de nacimiento,chile4_19058
Don Mateo Arnaldo Hoevel,cargo en Santiago en 1817,jefe local de la ciudad,chile4_19060
Don Mateo Arnaldo Hoevel,años de residencia en Chile antes de 1817,diez años,chile4_19059
Don Mateo Ibáñez,título nobiliario,marqués de Corpa,chile4_15359
Don Matías Ugareta,rol en proyecto de,Contratista del canal del río Maipo,chile4_17303
Don Melchor Concha i Toro,autor de,memoria sobre congreso de 1824-1825 en tomo VII de obra de Claudio Gay,chile4_3976
Don Melchor de Cárdenas,cargo bajo Meneses,Alguacil mayor de la caja real,chile4_11227
Don Melchor de Cárdenas,acusación de hurto,Casi ochenta mil pesos,chile4_11228
Don Melchor de Cárdenas,relación con Meneses,confidente,chile4_15270
Don Melchor de Cárdenas,relación previa,Servidor y confidente del gobernador don Martín de Mújica,chile4_11230
Don Melchor de Cárdenas,cargo,teniente mayor,chile4_15269
Don Melchor de Liñán,cargo de,arzobispo de Lima,chile4_11957
Don Melchor de Liñán,fin de gobierno,1681,chile4_11968
Don Melchor de Navarra y Rocafull,fecha de llegada a Lima,noviembre de 1681,chile4_11970
Don Melchor de Navarra y Rocafull,cargo de,virrey del Perú,chile4_11971
Don Melchor de Navarra y Rocafull,título de,duque de la Palata,chile4_11969
Don Miguel A. Velasco y Avendaño,amigo de,Don García de Mendoza,chile1_4842
Don Miguel Amunátegui,autor de,La República Argentina,chile1_6128
Don Miguel Antonio de Vicuña,ubicación de tienda,"Santiago, media cuadra de la plaza principal",chile4_15197
Don Miguel Antonio de Vicuña,dependiente de,presidente don Juan Andrés de Ustáriz,chile4_15196
Don Miguel Arriaran,cargo de trabajo,Gobernador de Curicó,chile4_6722
Don Miguel Infante,fecha de presentación de proyecto constituyente,30 de diciembre de 1824,chile4_3706
Don Miguel Luis Amunátegui,tema de escritura en Los precursores de Independencia,la ilustración en los dominios hispano americanos,chile4_13986
Don Miguel Luis Amunátegui,autor de,El terremoto del 13 de mayo de 1647,chile1_10128
Don Miguel Luis Amunátegui,autor de,La cuestión de límites,chile4_10731
Don Miguel Luis Amunátegui,autor de,Los precursores de Independencia,chile4_13982
Don Miguel Luis Amunátegui,publicador de libros de Prescott por encargo de,Gobierno chileno,chile4_7305
Don Miguel Zañartu,cargo de,encargado de negocios de Chile en Lima,chile4_6395
Don Miguel Zañartu,autor de,opúsculo Cuadro del gobierno patrio publicado en Lima en 1826,chile4_3972
Don Miguel Zañartu,representante en Santiago de,Bernardo O'Higgins,chile4_854
Don Miguel Zañartu,misión encomendada,solicitar profesor de cirugía en el Perú,chile4_6386
Don Miguel de Velasco,cargo de,capitán del ejército español en Chile,chile1_6146
Don Miguel de la Barra,misión encomendada,contratar profesor de cirugía en París,chile4_6398
Don Miguel de la Barra,cargo de,encargado de negocios de Chile en París,chile4_6397
Don Nicolás Matorras,categoría,Personaje notable del período 1797-1808,chile4_16650
Don Nicolás Montt,cargo de,Regidor de la junta central de vacuna,chile4_17685
"Don Nicolás de la Cruz, conde del Maule",relación con propietario,hermano de don Juan Manuel de la Cruz,chile4_19057
Don Pedro Carrillo Guzmán,cargo ofrecido,gobierno de Chile,chile4_10755
Don Pedro Cortés Mendoza,cargo de,comandante de destacamento de caballería,chile4_12739
Don Pedro Córdoba Figueroa,parentesco con,don Alonso de Figueroa,chile4_10763
Don Pedro Córdoba Figueroa,autor de,Historia de Chile,chile4_10761
Don Pedro Dávila,posición entre hermanos,hijo segundo,chile4_9459
Don Pedro Dávila,padre,marqués de las Navas,chile4_9458
Don Pedro Fernández de Castro y Andrade,título nobiliario,conde de Lemos,chile4_11452
Don Pedro Fernández de Moreda,cargo previo,contador y oficial mayor de la caja de Lima,chile4_13647
Don Pedro Fernández de Moreda,nombramiento,visitador de la plaza de Valdivia,chile4_13648
Don Pedro Fernández de Moreda,designado por,Duque de la Palata,chile4_13649
Don Pedro Molina,cargo de trabajo,gobernador de Chiloé,chile4_15351
Don Pedro Morán,cargo de,profesor de anatomía,chile4_6405
Don Pedro Osores de Ulloa,cargo de,Gobernador de Chile,chile4_9244
Don Pedro Osores de Ulloa,cargo,gobernador de Chile,chile4_9455
Don Pedro Páez,llegada a Chile en,Socorro de tropas desde el Perú,chile1_9996
"Don Pedro Rodríguez, conde de Campomanes",autor de,Discurso sobre la educación popular (1775-77),chile4_9325
Don Pedro Ronquillo,cargo de,embajador de S.M.C. en Inglaterra,chile4_14674
Don Pedro Surbiela,ocupación,ingeniero de minas,chile4_17477
Don Pedro Usauro Martínez,edad de incorporación militar,diecisiete años,chile4_19849
Don Pedro Usauro Martínez,autor de,libro histórico y descriptivo de provincia de Valdivia,chile4_19846
Don Pedro Usauro Martínez,lugar de nacimiento,Cádiz,chile4_19847
Don Pedro Usauro Martínez,año de nacimiento,1732,chile4_19848
Don Pedro Usauro Martínez,unidad militar,batallón veterano de infantería de Cádiz,chile4_19850
Don Pedro Velasco y Avendaño,amigo de,Don García de Mendoza,chile1_4841
Don Pedro Villegas,cargo de,encomendero de Chiloé,chile4_11941
Don Pedro Villegas,cargo de,sargento mayor de la plaza de Chacao,chile4_11942
Don Pedro de Cevallos,cargo de,Primer virrey de Buenos Aires,chile4_17290
Don Pedro de Godoy,muerto en,combate de Andalién,chile1_5775
Don Pedro de Godoy,origen,caballero sevillano,chile1_5774
Don Pedro de Montola,cargo de,Gobernador de Valdivia,chile4_11761
Don Pedro de Montoya,cargo de,Gobernador de Valdivia,chile4_11688
Don Pedro de Montoya,solicitud de refuerzo,trescientos hombres,chile4_11691
Don Pedro de Montoya,cantidad de navíos avistados,doce,chile4_11690
Don Pedro de Montoya,fecha de aviso sobre navíos enemigos,24 de diciembre de 1670,chile4_11689
Don Pedro de Prado,cargo designado,corregidor de Santiago,chile4_11481
Don Pedro de Prado,cargo anterior,corregidor en años anteriores,chile4_11482
Don Pedro de Ustáriz,sobrino de,presidente don Juan Andrés de Ustáriz,chile4_15203
Don Pernetty,receptor de información de,Guardián de franciscanos de Montevideo,chile4_16058
Don Pernetty,profesión religiosa relacionada con,Benedictino,chile4_16057
Don Rafael Antúnez Acevedo,autor de obra de 1791 sobre,legislación del gobierno del comercio español con las colonias,chile4_9328
Don Rafael Valentín Valdivieso i Zañartu,rol en corte marcial,juez suplente,chile4_6699
Don Rafael Valentín Valdivieso i Zañartu,profesión durante los hechos,abogado,chile4_6698
Don Rafael Valentín Valdivieso i Zañartu,cargo posterior,arzobispo de Santiago,chile4_6697
Don Ramón Errázuriz,cargo durante decreto,Ministro,chile4_5174
Don Rodolfo Vergara Antúnez,autor de,Vida i obras del Ilmo. i Rvdmo. señor don Rafael V. Valdivieso,chile4_6702
Don Rodrigo de Mendoza,relación de parentesco con el Virrey,sobrino,chile4_8051
Don Rodrigo de Mendoza,cargo en la flota peruana,general,chile4_8050
Don Roque Eloici,ocupación,Comerciante de la junta central de vacuna,chile4_17691
Don Salvador Cabrito,cargo,maestre de campo,chile4_15722
Don Sancho García Salazar,condición de,Desterrado fallecido,chile4_13668
Don Sancho García Salazar,cargo de,Oidor de la Audiencia de Santiago,chile4_13667
Don Santos Izquierdo,cargo de,Alcalde de primer voto de la junta central de vacuna,chile4_17684
Don Silvestre Collar,cargo de trabajo,secretario del rei,chile4_15888
Don Simón Rodríguez,objeto de estudio crítico y biográfico de,don Miguel Luis y don Gregorio Victor Amunategui,chile4_3244
Don Tomas Alvarez de Acevedo,período de notabilidad,1780 a 1796,chile4_18807
Don Tomás Calderón,partidario de,don Francisco de Meneses,chile4_11476
Don Tomás Calderón,cargo en Santiago,corregidor,chile4_11475
Don Tomás López,lugar de estudio,París,chile4_16569
Don Tomás López,autor de,Atlas jeográfico de la América meridional,chile4_16571
Don Tomás López,especialidad de estudio,jeografía i construcción de mapas,chile4_16570
Don Tomás López,hijo,don Joan Lopez,chile4_16573
Don Tomás Marín de Poveda,período mencionado,1656 a 1718,chile4_14897
Don Tomás Paravecino,relación familiar con,Virrey del Perú,chile4_12625
Don Tomás Paravecino,cargo de,Jefe de escuadra del Virrey del Perú,chile4_12624
Don Tomás Shee,responsabilidad asignada,gerencia de empresas de pesca,chile4_17496
Don Tomás Shee,cargo militar,teniente coronel,chile4_17495
Don Valentín Letelier,compilador de,colección de documentos en tomos de Sesiones de cuerpos legislativos de Chile,chile4_3975
Don Vicente Bustillos,fecha de inauguración de clase,publicado en El Araucano de 17 de abril de 1833,chile4_6407
Don Vicente Bustillos,cargo de,profesor de botánica i farmacia,chile4_6403
Don Vicente Carvallo i Goyeneche,tipo de autor,cronista,chile4_20072
Don Victorino Garrido,cargo de,visitador de oficinas fiscales,chile4_6263
Don de Jovellanos,defensor de,la reforma de sepultar cadáveres fuera de las iglesias,chile4_15875
Don de Jovellanos,ocupación,jurisconsulto,chile4_15874
Don fray Antonio Morales,cargo de,Obispo,chile4_12702
Don fray Baltasar de Ovando,autor de,descripción geográfica de Perú y Chile,chile1_11218
Don fray Baltasar de Ovando,cargo de,obispo de la Imperial de Chile,chile1_11217
Don fray Baltasar de Ovando,año de escritura,1605,chile1_11219
Don fray Bernardo Carrasco,rol en donativo de septiembre de 1680,cooperador,chile4_12306
Don fray Bernardo Carrasco,cargo,obispo de Santiago,chile4_12304
Don fray Diego de Humanzoro,cargo eclesiástico,obispo de Santiago,chile4_15271
Don fray Diego de Humanzoro,cargo anterior en el Cuzco,guardián del convento,chile4_15275
Don fray Diego de Humanzoro,orden religiosa,franciscano,chile4_15274
Don fray Diego de Humanzoro,lugar de nacimiento,provincia de Guipúzcoa,chile4_15273
Don fray Diego de Humanzoro,período de gobierno de la diócesis de Santiago,desde 1661,chile4_15272
Don fray Diego de Medellín,cargo de,obispo de Santiago,chile1_7175
Don fray Gaspar de Villarroel,cargo eclesiástico,obispo de Santiago,chile4_14003
Don fray Luis Jerónimo de Oré,lugar de nacimiento,"Guamanga, en el Perú",chile4_13999
Don fray Luis Jerónimo de Oré,cargo eclesiástico,obispo de Concepción,chile4_14000
Don fray Luis Jerónimo de Oré,tipo de obras,tratados sobre asuntos religiosos,chile4_14002
Don fray Luis Jerónimo de Oré,período como obispo de Concepción,1622,chile4_14001
Don fray Reginaldo de Lizárraga,cargo de,obispo de Concepción,chile1_10130
Don fray Reginaldo de Lizárraga,cargo eclesiástico,obispo de la Imperial,chile4_13998
Don fray Reginaldo de Lizárraga,cargo de,obispo de Concepción,chile1_11161
Don fray Tomás San Martín,cargo de,primer obispo de Charcas,chile1_5560
Don fray Tomás San Martín,orden religiosa,dominicano,chile1_5561
Don Álvaro Flores Estrada,autor de,Examen imparcial de las disensiones de la América con la España,chile4_14686
Don Ángel de Peredo,lugar de fallecimiento,Córdoba del Tucumán,chile4_11506
Don Ángel de Peredo,cargo de,Gobernador de la provincia de Tucumán,chile4_11501
Don Ángel de Peredo,cargo de,Gobernador de Valdivia,chile4_11500
Don Ángel de Peredo,edad al fallecer,cincuenta y cuatro años,chile4_11508
Don Ángel de Peredo,fecha de fallecimiento,21 de marzo de 1677,chile4_11507
Donación papal,beneficiarios,Reyes Católicos y sus sucesores,chile4_13761
Donación papal,autor,papa Alejandro VI,chile4_13760
Donativos voluntarios en dinero o en especies,monto de,"407,958 pesos",chile4_1440
Dos carabelas bajo el mando del capitán don Juan de More,lugar de salida,Lisboa,chile4_8501
Dos carabelas bajo el mando del capitán don Juan de More,fecha de salida,octubre de 1618,chile4_8500
Dos carabelas bajo el mando del capitán don Juan de More,fecha de regreso,agosto de 1619,chile4_8502
Dos carabelas bajo el mando del capitán don Juan de More,lugar de regreso,Sevilla,chile4_8503
Dos consejeros de estado más antiguos,cargo de,senadores por derecho propio,chile4_6905
Dos indios del partido de Melipilla,condena,ahorcados en la plaza de Santiago,chile4_10918
Dos obispos de Chile,calidad eclesiástica de,Sufragáneos de la iglesia metropolitana de Lima,chile1_8033
Dos relaciones descriptivas del padre Nyel,lugar de publicación,colección de Letrres édifiantes tomo 11 pp. 79-91 edición de Aimé Martin en el Pantheon Littéraire,chile4_14904
Dosel del sillón presidencial,elemento decorativo,retratos de sus majestades católicas a derecha e izquierda,chile4_18059
Dowell Hermanos,nacionalidad de propietarios,irlandeses,chile4_15706
Doña Ana María Óñez de Loyola,relación familiar,Hija de Óñez de Loyola,chile1_8683
Doña Ana María Óñez de Loyola,estado civil,Casada con don Juan Enríquez de Borja,chile1_8684
Doña Ana María Óñez de Loyola,título nobiliario,Marquesa de Oropesa,chile1_8685
Doña Antonia Aguilera y Estrada,rol social,señora principal,chile4_10732
Doña Beatriz de Santillana,origen,española,chile1_5760
Doña Beatriz de Santillana,poseedora de,repartimiento de tierras y de indios en Perú,chile1_5759
Doña Catalina Bravo de Saravia,rol en litigio de nulidad matrimonial,parte que sostuvo el litigio,chile4_15291
Doña Catalina Bravo de Saravia,lugar de residencia,Lima,chile4_11513
Doña Catalina Bravo de Saravia,padre,maestre de campo don Francisco Bravo de Saravia,chile4_15255
Doña Catalina Bravo de Saravia,madre,doña Marcela de Inestroza,chile4_15256
Doña Catalina Lisperguer,autora de preparación de asesinato del cura de,La Ligua,chile4_9113
Doña Catalina Lisperguer,autora de asesinato en,mayo de 1624,chile4_9112
Doña Catalina Lisperguer,hija de,Catalina de Ríos,chile4_9110
Doña Catalina de los Ríos,benefactora de,conventos e iglesias,chile4_9228
Doña Catalina de los Ríos,protección de,miembros de la Real Audiencia,chile4_9229
Doña Grimanesa de Mogrovejo,hermano,Santo Toribio,chile1_8837
Doña Isabel Riquelme,relación familiar con,Jeneral O'Higgins como madre,chile4_893
Doña Jimena Díaz,esposa de,Cid campeador,chile1_8849
Doña Josefa Cortés,año de promoción de expediente,1699,chile4_8061
Doña Josefa Cortés,relación con Pedro Cortés,descendiente,chile4_8060
Doña Juana de Salazar,lugar de matrimonio,Perú,chile4_10747
Doña Mariana de Austria,cargo de,Reina gobernadora,chile4_11516
Doña Mariana de Austria,cargo de,Reina regente,chile4_11529
Doña Mariana de Austria,cargo de,Reina gobernadora,chile4_11451
Doña Mariana de Austria,cargo,reina gobernadora,chile4_13978
Doña Marina Ortiz de Gaete,condición de,viuda de Pedro de Valdivia,chile1_6578
Doña Marina Ortiz de Gaete,relación familiar con,Pedro de Valdivia,chile1_6577
