Sujeto,Relación,Objeto
Agustín Vial Santelices,presentador del proyecto de ley sobre,estanco de tabaco
Contrato de estanco de tabaco,duración establecida,10 años
Contrato de estanco de tabaco,fecha de inicio,1 de enero de 1825
Empresarios del estanco,préstamo recibido del empréstito inglés,300000 pesos
Empresarios del estanco,monto anual a entregar para,servicio de deuda exterior de Chile
Empresarios del estanco,suma anual comprometida,355500 pesos
Compañía comercial Portales y Cea,proponente del contrato de,estanco de tabaco
Diego Portales,jefe de,Compañía comercial Portales y Cea
Fernando Errázuriz,cargo de trabajo,Director Supremo delegado de Chile
Senado de Chile,fecha de rechazo de propuestas Portales y Cea,13 de marzo de 1824
Ignacio Eyzaguirre,miembro de,Inspección fiscal de Chile
Agustín Vial,miembro de,Inspección fiscal de Chile
José Santelices,miembro de,Inspección fiscal de Chile
Diego Portales,miembro de,Inspección fiscal de Chile
Ignacio Eyzaguirre,relación familiar con,Diego Portales
Estanco de tabaco en Chile,renta producida en 1823,233000 pesos
Jeneral Freire,fecha de reasunción del mando de,República de Chile
Fernando Errázuriz,fecha de renuncia al cargo de Director,1 de julio de 1824
Senado de Chile,fecha de suspensión,1 de julio de 1824
Francisco Javier Errázuriz,cargo de trabajo,Director de la Caja de Descuentos de Chile
Domingo Eizaguirre,cargo de trabajo,Director de la Caja de Descuentos de Chile
Contrato definitivo de estanco,fecha de celebración,20 de agosto de 1824
Contrato definitivo de estanco,duración,10 años
Caja de Descuentos de Chile,monto a entregar a contratistas del estanco,500000 pesos en tabacos
Empresarios del estanco,monto de fianza requerida,315000 pesos
Diego José Benavente,cargo de trabajo,Ministro de Hacienda de Chile
Decreto de aprobación del contrato de estanco,fecha de emisión,23 de agosto de 1824
Fernando Errázuriz,aprobador del,contrato de estanco de 1824
Diego José Benavente,aprobador del,contrato de estanco de 1824
Ramón Errázuriz,hermano de,Fernando Errázuriz
Ramón Errázuriz,asociado comercial de,Compañía Portales y Cea
Doctor Rodríguez Aldea,corresponsal de,Bernardo O'Higgins
Tomás María Boile,cargo de,comandante
José María de la Cruz,cargo de,comandante
Salvador Fuga,cargo de,sargento mayor
Luis Ríos,cargo de,capitán
Bernardo Freire,cargo de,general en jefe
Bernardo Freire,cargo de,jefe de la provincia de Concepción
José Antonio Rodríguez,cargo de,ex-ministro de hacienda
Antonio Arcos,ocupación,comerciante
Juan Felipe Córdova,delator de,conspiración de los Carreras en 1817
teniente Navarro,cargo de,jefe de la escolta
Bernardo O'Higgins,cargo de,ex-director supremo
Mariano Egaña,cargo de,ministro de gobierno
Agustín de Eyzaguirre,cargo de,miembro de la junta gubernativa
Fernando Errázuriz,cargo de,miembro de la junta gubernativa
José Miguel Infante,cargo de,miembro de la junta gubernativa
Santiago Muñoz Bezanilla,cargo de,antiguo capitán del primer ejército de la patria
Santiago Muñoz Bezanilla,director de,El Tizón republicano
Miguel Zañartu,director de,El Corresponsal del imparcial
Manuel Rodríguez,fecha de asesinato,mayo de 1817
junta gubernativa de Santiago,fecha de confinamiento de José Antonio Rodríguez,5 de febrero
junta gubernativa de Santiago,fecha de arresto de José Antonio Rodríguez,10 de febrero
asamblea popular de Santiago,fecha de reunión,26 de febrero
El Tizón republicano,fecha de primera publicación,24 de febrero
provincia de Concepción,cantidad recibida en último año de administración,"216,000 pesos"
provincia de Concepción,cantidad invertida debidamente,"98,000 pesos"
junta gubernativa de Santiago,cantidad suministrada al ejército del sur en Valparaíso,"20,600 pesos"
tesorería general,cantidad prestada del comercio,"4,000 pesos"
conspiración de los Carreras,año de ocurrencia,1817
El Tizón republicano,periodicidad de publicación,semanal
Decreto de 1824 sobre estanco,tipo de régimen,contrato de percepción de impuestos
Empresarios del estanco,rol de,administradores del estanco
Estanco,tipo de contribución,contribución odiada y fraudulenta
Empresarios del estanco,poseedor de,buque armado para evitar contrabando
Contrato del estanco,duración de,cuatro años
Bolívar,cargo investido de,dictadura absoluta en Perú
Independencia nacional de México,estado de,definitivamente consumada
Independencia nacional de América Central,estado de,definitivamente consumada
Independencia nacional de Colombia,estado de,definitivamente consumada
Independencia nacional de Chile,estado de,definitivamente consumada
Independencia nacional de provincias argentinas,estado de,definitivamente consumada
Perú en época de lucha independentista,escenario de,lucha con probabilidades de triunfo para españoles
Perú ocupado por patriotas en 1823,estado político de,dividido en dos gobiernos antagónicos
Congreso de Lima,emisor de,nuevo reglamento de comercio
Chile,prestamista de,1.620.250 pesos al Perú
Constitución política de República peruana,fecha de sanción por congreso,12 de noviembre de 1823
Congreso peruano,nombramiento realizado el 18 de noviembre de 1823,Torre-Tagle como presidente de la República
Fiesta cívica del 20 de septiembre,conmemoración de,aniversario de instalación del primer congreso nacional peruano
Virgen de La Merced,designación como,patrona de las armas peruanas
Riva Agüero,negociador con,virrey La Serna
Riva Agüero,propuesta de establecer,monarquía en Perú con príncipe español
Riva Agüero,fecha de propuesta a españoles,6 de septiembre
Bolívar,destinatario de,protestas de adhesión de Riva Agüero
Bolívar,lugar de traslado por mar,Supe
Provincia de Trujillo,objeto de,bloqueo de costa ordenado por Bolívar
Tropas colombianas bajo Bolívar,dirección de marcha hacia,Huaras
Coronel Antonio Gutiérrez de la Fuente,acción ejecutada,apresamiento de Riva Agüero
Riva Agüero,fecha de apresamiento,25 de noviembre de 1823
Riva Agüero,lugar de apresamiento,Trujillo
Gobierno de Trujillo,fecha de desaparición,después del 25 de noviembre de 1823
Tropas de Riva Agüero,ubicación de,Cajamarca
General La Mar,rol de,disciplinador del ejército peruano
Congreso de Lima,acción tomada,premiar a participantes en deposición de Riva Agüero
Gobierno de Trujillo,resultado de disolución,desaparición de uno de los peligros de revolución peruana
José María Novoa,lugar de origen,Concepción
Ramón Novoa,lugar de origen,Concepción
José María Novoa,hermano de,Ramón Novoa
José María Novoa,cargo de,ministro de la guerra de Riva Agüero
Ramón Novoa,cargo de,coronel
Ramón Novoa,cargo de,comandante de cuerpo en el ejército de Riva Agüero
Bernardo O'Higgins,intercesor de,Ramón Novoa
Bernardo O'Higgins,relación de amistad con,Simón Bolívar
Ramón Herrera,lugar de nacimiento,Chile
Ramón Herrera,cargo de,coronel
Ramón Herrera,cargo de,general
Ramón Herrera,cargo de,ministro de Riva Agüero
Ramón Herrera,negociador del,tratado de Paucarpata
Tratado de Paucarpata,fecha de,noviembre de 1837
Ramón Herrera,propietario de bienes urbanos en,Valparaíso
Félix Alzaga,cargo de,agente del gobierno de Buenos Aires
Torre Tagle,cargo de,presidente
Juan Berindoaga,cargo de,general
Juan Berindoaga,cargo de,ministro de la guerra
Juan Canterac,cargo de,general del ejército español
Juan Canterac,comandante del,ejército español en la provincia de Jauja
Enrique Martínez,cargo de,general
Enrique Martínez,cargo de,jefe de los cuerpos de los Andes
Práxedes Moyano,lugar de origen,Mendoza
Práxedes Moyano,cargo de,sargento en el regimiento del Río de la Plata
Sublevación del Callao,fecha de,4 al 5 de febrero de 1824
José Casariego,cargo de,coronel
José Casariego,cargo de,jefe de la plaza del Callao
Fernando López Aldana,cargo de,auditor de guerra
Robert Proctor,nacionalidad,inglés
Robert Proctor,ocupación,viajero
Robert Proctor,ocupación,agente de casa de Londres
Robert Proctor,autor de,Narrative of a journey across the cordillera of the Andes
Isidro Alais,cargo de,comandante español
Estanislao Correa,nacionalidad,argentino
Estanislao Correa,cargo de,alcalde de Lima en 1860
Estanislao Correa,cargo de,capitán del regimiento sublevado del Callao
Juan Lavalle,cargo de,comandante
Benjamín Vicuña Mackenna,autor de,Vida de O'Higgins
Ramón Sotomayor Valdés,autor de,Campaña del ejército contra la confederación peruano-boliviana
Ramón Sotomayor Valdés,nacionalidad,chileno
Guarnición del Callao,composición numérica,cerca de 1500 hombres
Regimiento del Río de la Plata,formado por,batallones 7 y 8 del ejército de los Andes
José María Rodil,cargo de,coronel
General Martínez,autor de,Exposición sobre las causas de la insurrección de las tropas de las fortalezas del Callao
Exposición del general Martínez,fecha de publicación,4 de febrero de 1824
Exposición del general Martínez,reproducida en,"Colección de Odriozola, tomo VI, páginas 77-1"
Moyano,rango militar inicial,Cazadores de los Andes
Regimiento de cazadores de los Andes,lugar de creación,San Juan
Regimiento de cazadores de los Andes,fecha de creación,enero de 1820
Moyano,rango militar en el Callao,Sargento
Generales Monet y Rodil,cargo militar,Comandantes de tropas regulares en los castillos del Callao
Generales Monet y Rodil,fecha de toma de posesión de los castillos,29 de febrero de 1824
"Moyano, Casariego y el capitán Mendizábal",prisioneros en,La Rioja
"Moyano, Casariego y el capitán Mendizábal",enviados a,Lima
Capitán Mendizábal,forma de muerte,Fusilado
Moyano,reconocimiento español,Nombre dado a una fortaleza de la plaza del Callao
Moyano,reconocimiento español,Nombre dado a un buque corsario español
Moyano,periodo de servicio en el Callao,Hasta fines de 1824
Moyano,lugar de embarque tras Ayacucho,Quilca
Moyano,destino tras abandonar el Callao,España
Moyano,rango militar reconocido en España,Coronel
Moyano,rango militar final,Brigadier
Moyano,lugar de muerte,Madrid
Moyano,año aproximado de muerte,1840
Basilio Sebastián Castellanos de Landa,ocupación,Revisor de edición castellana
Basilio Sebastián Castellanos de Landa,obra revisada,Description e historia de Paraguay y Río de la Plata
Description e historia de Paraguay y Río de la Plata,autor,Félix de Azara
Description e historia de Paraguay y Río de la Plata,lugar de publicación,Madrid
Description e historia de Paraguay y Río de la Plata,año de publicación,1847
Castellanos de Landa,autor de,Biografía de Félix de Azara
Biografía de Félix de Azara,ubicación en la obra,Final del tomo de Description e historia de Paraguay
Castellanos,página de referencia a Moyano,265
Historiador español Torrente,autor de,Historia de la revolución hispano-americana
Historia de la revolución hispano-americana de Torrente,referencia específica,Capítulo III del tomo III
Alais,biografía publicada en,La guerra Narvaez
La guerra Narvaez,autor,M. F. M. de Vargas
Biografía de Alais,ubicación en la obra,"Tomo II, sección 2, página 132"
Pérdida del Callao,efecto en,Lima
Presidente Torre Tagle,situación política,En tratos secretos con los españoles desde dos meses atrás
Bolívar,ubicación durante la pérdida del Callao,Pativilca
Almirante Guise,orden recibida de Bolívar,Echar a pique o incendiar buques en la bahía del Callao
General Martínez,orden recibida de Bolívar,Sacar de Lima todo cuanto pudiera servir para la organización del ejército libertador
Congreso constituyente de Lima,fecha de investidura de autoridad a Bolívar,10 de febrero de 1824
Congreso constituyente de Lima,acto político,Investir a Bolívar de suprema autoridad política y militar
Congreso constituyente de Lima,acto político,Suspender de funciones al presidente de la República
Congreso constituyente de Lima,acto político,Clausurar sus propias sesiones
Torre Tagle,tiempo de resistencia a firmar decreto de dictadura,Siete días
Almirante Guise,fecha de ataque a los castillos del Callao,19 de febrero de 1824
Torre Tagle,fecha de manifiesto de traición,6 de marzo de 1824
Brigadier Ramón Rodil,cargo militar,Comandante de las fortalezas del Callao
Brigadier Mateo Ramírez,cargo militar,Comandante en Lima
Brigadier Mateo Ramírez,fecha de inicio de mando en Lima,18 de marzo de 1824
Juan Salazar,cargo diplomático,Representante del Perú
Daniel O'Leary,cargo militar,Ayudante de Bolívar
Daniel O'Leary,misión diplomática,Enviado a Chile a reclamar auxilios
General Guillermo Miller,solicitud administrativa,Licencia para pasar a Chile
General Guillermo Miller,fecha de solicitud de licencia,Enero de 1824
General Guillermo Miller,motivo de licencia,Recuperar su salud
Memorias para la historia del Perú,autor del seudónimo,I. Pranvenena (anagrama de un peruano)
Memorias para la historia del Perú,estructura,Un tomo de texto y otro de documentos
Memorias para la historia del Perú,inspirador,Riva Agüero
Memorias para la historia del Perú,autores reales,José Natividad Arce y José Nicolás Garai
José Natividad Arce,ocupación,Canónigo de Lima
José Nicolás Garai,ocupación,Canónigo de Lima
Simón Rodríguez,ocupación,Maestro de primeras letras de Bolívar
Simón Rodríguez,autor de,El libertador y compañeros de armas
El libertador y compañeros de armas,lugar de publicación,Arequipa
El libertador y compañeros de armas,año de publicación,1830
Simón Rodríguez,fecha de encuentro con oficial norteamericano relatado,Junio de 1824
Simón Rodríguez,lugar de encuentro relatado,Huamaraz
Testimonio de oficial norteamericano sobre Bolívar,ubicación publicada,"Colección de Documentos para la historia de la Libertad, tomo IX, páginas 303-327"
Coronel Benavente,mando militar,Expedición chilena
Expedición del coronel Benavente,fecha de noticia de retorno,1 de diciembre de 1823
Don Simón Rodríguez,objeto de estudio crítico y biográfico de,don Miguel Luis y don Gregorio Victor Amunategui
Estudio crítico y biográfico de don Simón Rodríguez,publicado en,"Biografías de americanos (Santiago, 1893)"
Don Manuel Antonio López,cargo de,ayudante del estado mayor del ejército libertador
Don Manuel Antonio López,autor de,Para la historia (reseña de la campaña de 1823-1824)
Reseña Para la historia,reproducida en,"colección de documentos referentes a Bolívar, tomo IX, págs. 530-555"
Restrepo,autor de,"Historia de la revolución de Colombia, III"
Don Felipe Larrazabal,autor de,"Viaje a Bolívar, II"
General Francisco Antonio Pinto,cargo de,comandante del ejército de Lima denominado del centro
General Martínez,cargo de,comandante del ejército de Lima al momento de la insurrección del Callao
Bolívar,representado por,ministro Salazar
Ministro Salazar,representante de,Perú ante Chile
Ministro Egaña,cargo de,ministro de gobierno y de relaciones exteriores de Chile
División expedicionaria,comandante de,general Pinto
Gobierno de Chile,decisión de arrojar españoles de,archipiélago de Chiloé
Plaza del Callao,caída en poder de,realistas
Senado conservador de Chile,emisor de parecer sobre auxilios al Perú,13 de abril de 1824
Fernando VII,cargo de,gobernante absoluto de España
Don Antonio José de Irisarri,cargo atribuido de,representante diplomático de Chile en Europa
Don Mariano Egaña,cargo de,ministro de gobierno y de relaciones exteriores de Chile
Senado de Chile,sesión especial sobre bases de instrucciones,16 de febrero
Senado de Chile,resolución sobre indemnizaciones,24 de marzo
Antonio José de Irisarri,representante diplomático de,Chile en Londres
Francisco Rivas,secretario de,Antonio José de Irisarri
Andrés Bello,secretario de,Antonio José de Irisarri
Andrés Bello,origen nacional,venezolano
Francisco Rivas,origen nacional,venezolano
Mariano Egaña,cargo de,Ministro de Estado en el Departamento de Gobierno y Relaciones Exteriores de Chile
Mariano Egaña,cargo de,Enviado y Ministro Plenipotenciario de Chile cerca del Reino Unido de la Gran Bretaña y otros estados de Europa
Miguel de la Barra,cargo de,Secretario de la Legación de Chile en Europa
Antonio José de Irisarri,origen nacional,Guatemala
Manuel Blanco Encalada,rango militar,Vice-Almirante
Manuel Blanco Encalada,comandante de,Escuadra de Chile
Herman Allen,cargo de,Ministro Plenipotenciario de los Estados Unidos en Chile
Antonio José de Irisarri,cónyuge con relaciones familiares en,Chile
Mariano Egaña,sueldo anual asignado,15000 pesos
Miguel de la Barra,sueldo por dos años,4000 pesos
Fernando VII,cargo de,Rey de España
Simón Bolívar,título de,Libertador de Colombia
Francisco Antonio Pinto,cargo de,Gobernador-Intendente de Coquimbo
Corsario español,lugar de armamento,Chiloé
Corsario español,lugar de armamento,Callao
Jorge Canning,cargo de trabajo,ministro del gobierno inglés
gobierno inglés,enviado de agentes consulares a,Buenos Aires
gobierno inglés,enviado de agentes consulares a,Chile
gobierno inglés,enviado de agentes consulares a,Perú
navío de guerra Cambrián,puerto de salida,Londres
navío de guerra Cambrián,fecha de zarpe,mediados de diciembre de 1823
navío de guerra Cambrián,puerto de llegada,Valparaíso
navío de guerra Cambrián,fecha de llegada a Valparaíso,4 de mayo de 1824
agentes consulares británicos,fecha de inicio de funciones,15 de mayo de 1824
Tomás Maling,cargo de trabajo,capitán del navío Cambrián
Cristóbal Ricardo Nugent,cargo de trabajo,cónsul general de Gran Bretaña en Chile
Mateo Corter,cargo de trabajo,vicecónsul británico en Chile
Enrique Guillermo Rouse,cargo de trabajo,vicecónsul británico en Chile
José Ignacio Cienfuegos,cargo de trabajo,canónigo
José Ignacio Cienfuegos,cargo de trabajo,representante de Chile en Roma
José Ignacio Cienfuegos,fecha de partida de Chile,28 de enero de 1822
José Ignacio Cienfuegos,fecha de llegada a Roma,3 de agosto de 1822
Pío VII,cargo de trabajo,papa
cardenal Consalvi,cargo de trabajo,ministro del papa Pío VII
obispo Rodriguez,familiar en,Madrid
José de Aparici,cargo de trabajo,secretario de la embajada española en Roma
conferencia entre Cienfuegos y Aparici,lugar de ocurrencia,convento de dominicanos Santa Maria sopra Minerva
conferencia entre Cienfuegos y Aparici,fecha de ocurrencia,mediados de agosto de 1822
congreso de Verona,tema tratado,intervención en España
congreso de Verona,tema tratado,pacificación de colonias españolas
Juan Muzi,cargo de trabajo,arzobispo felipense
Juan Muzi,cargo de trabajo,vicario apostólico de Chile
Juan Muzi,autor de,tratado de matemáticas
Juan María Mastai Ferretti,cargo eclesiástico posterior,Papa Pío IX
Juan María Mastai Ferretti,rol en la misión,agregado a la legación como presbítero
Bergantín Eloisa,nacionalidad de la embarcación,embarcación sarda
Pío VII,fecha de fallecimiento,20 de agosto de 1823
León XII,cargo eclesiástico,Papa sucesor de Pío VII
León XII,fecha de asunción del papado,3 de setiembre de 1823
Cardenal Consalvi,rol en la aprobación de la misión,justificador de la medida ante León XII
León XII,fecha de confirmación de la legación,3 de octubre de 1823
Ramón Freire,cargo político,supremo director de los negocios públicos del estado chileno
Bergantín Eloisa,fecha de recalada en Palma,14 de octubre de 1823
Legaciones chilena y pontificia,fecha de llegada a Buenos Aires,4 de enero de 1824
Bernardino Rivadavia,cargo gubernamental,ministro del gobierno de Buenos Aires
Manuel José García,cargo gubernamental,ministro del gobierno de Buenos Aires
Martín Rodríguez,cargo político,gobernador de Buenos Aires
Diego Estanislao Zavaleta,cargo eclesiástico,provisor eclesiástico de Buenos Aires
Vicario apostólico y comitiva,fecha de partida de Buenos Aires hacia Chile,1 de enero de 1825
Vicario apostólico,fecha de llegada a Colina,primeros días de febrero de 1825
Vicario apostólico,fecha de llegada a Santiago,6 de marzo de 1825
Vicario apostólico,lugar de hospedaje provisional,convento grande de los recoletos dominicos
Vicario apostólico,fecha de recepción oficial,7 de marzo de 1825
Vicario apostólico,lugar de residencia oficial,casa de gobierno
Vicario apostólico,período de residencia en casa de gobierno,hasta el 1 de mayo de 1825
Vicario apostólico,relación con obispo Rodríguez,persona con quien se intimaba
Obispo Rodríguez,posición política,enemigo obstinado de la independencia
Senado chileno,fecha de aprobación de renta al vicario,16 de marzo de 1825
Vicario apostólico,monto de renta mensual aprobada,quinientos pesos mensuales
Renta del vicario apostólico,fuente de financiamiento,masa de diezmos
Cienfuegos,rol en la misión,jefe de la legación chilena
Senado conservador,fecha de ocupación en asuntos eclesiásticos,julio de 1823
Senado conservador,fecha de oficio al director supremo,19 de julio de 1823
Ramón Freire,relación con casa de gobierno en marzo 1825,ausente de la casa de gobierno
Vicario apostólico,cargo en,Catedral de Santiago
Canonjía de la Catedral de Santiago,provisión por,Gobierno chileno
Sallusti,cargo de,Secretario del vicario apostólico
Marinno Egaña,cargo de,Ministro
Provisión de prebendas en catedrales del estado,suspensión desde,1821
Suspensión de provisión de prebendas,motivo de,Terminación de la guerra de la independencia
Comunidades religiosas de Chile,remisión de colectas a,Generales residentes en Europa
Sublevación de un cuerpo de caballería,lugar de ocurrencia,Talca
Manuel Quintana,cargo de,Gobernador local comandante
El Avisador,tipo de publicación,Periódico chileno
El Avisador,lugar de publicación,Santiago
El Avisador,fecha de inicio de publicación,Fines de marzo
El Avisador,contenido de,Análisis crítico de la constitución de 1823
Francisco Fernández,ocupación de,Librero de Santiago
Francisco Fernández,rol de,Editor y principal redactor de El Avisador
Juan Egaña,cargo de,Senador
Fernando Errázuriz,cargo de,Supremo director delegado
Fernando Errázuriz,ministros de,Benavente y Egaña
José Tomás Ovalle,cargo de,Senador
Tadeo Quezada,cargo de,Capitán retirado
Vicente Soto,cargo de,Capitán de artillería
Cuartel de San Diego,ubicación actual de,Universidad
Fernando VII,restablecimiento en el poder por,Santa alianza
Obispo Rodríguez,cargo de,Gobierno de la diócesis de Santiago
Ramón Freire,cargo de,Supremo Director de Chile
Juan Egaña,autor de,Constitución de 1823
Mariano Egaña,hijo de,Juan Egaña
Francisco Antonio Pinto,cargo de,Ministro de Gobierno y Relaciones Exteriores de Chile
Francisco Antonio Pinto,cargo previo de,Gobernador Intendente de Coquimbo
Francisco Antonio Pinto,sucesor de,Mariano Egaña
José de Larrea,cargo de,Ministro del Perú en Chile
Manuel Rengifo,cargo de,Representante diplomático de Chile
José Antonio Rodríguez,corresponsal de,Bernardo O'Higgins
Gaspar Marín,cargo de,Miembro del Consejo de Estado de Chile
Fernando Errázuriz,cargo de,Presidente del Senado de Chile
Chile,acreedor de,Perú
Perú,deudor de,Chile
Empréstito inglés,monto,1.500.000 pesos
Constitución de 1823,autor intelectual,Juan Egaña
Constitución de 1823,año de promulgación,1823
Ramón Freire,fecha de reasunción del mando,14 de junio de 1824
Ramón Freire,fecha de presentación de renuncia,14 de julio de 1824
Francisco Antonio Pinto,fecha de nombramiento como ministro,Julio de 1824
Mariano Egaña,destino de legación,Londres
Mariano Egaña,fecha de partida a Europa,Mayo de 1824
Senado de Chile,fecha de respuesta a renuncia de Freire,15 de julio de 1824
Déficit fiscal de Chile en 1824,monto,1.092.708 pesos
Plan de economías del gobierno,ahorro anual proyectado,71.000 pesos
Consejo de Estado de Chile,miembro,Gaspar Marín
Analizando cuidadosamente el fragmento proporcionado, procedo a extraer las tripletas RDF que estén **explícitamente presentes** en el texto, utilizando predicados estáticos y evitando cualquier inferencia o información externa.
Ramón Freire,cargo de trabajo,Director Supremo de Chile
Ramón Freire,cargo de trabajo,Jefe del Ejército
Constitución de 1823,fecha de suspensión efectiva,19 de julio de 1824
Constitución de 1823,fecha de anulación definitiva,Seis meses después de julio de 1824
Francisco de la Lastra,cargo de trabajo,Gobernador Intendente de Santiago
Francisco de Borja Fontecilla,cargo de trabajo,Intendente proclamado por el pueblo el 19 de julio de 1824
Bernardo Vera,autor de,Alocución poética recitada en el teatro de Santiago el 28 de julio de 1824
Ambrosio Morante,ocupación,Actor
Senado de Chile,emisor de,Oficio al Director Supremo de 15 de julio de 1824
Senado de Chile,fecha de suspensión de sesiones,21 de julio de 1824
Ramón Freire,fecha de renuncia al cargo de Director Supremo,17 de julio de 1824
Ramón Freire,fecha de aceptación del mando con facultades amplias,19 de julio de 1824
Benavente,cargo de trabajo,Ministro de Estado bajo Ramón Freire
Pinto,cargo de trabajo,Ministro de Estado bajo Ramón Freire
Fernández,cargo de trabajo,Ministro de Estado bajo Ramón Freire
Chile,denominación anterior,Patria
Ministerio del Interior y Relaciones Exteriores,denominación anterior,Ministerio de Gobierno
Tribunal del Consulado,función,Administración de justicia en asuntos comerciales
18 de septiembre,tipo de fecha,Aniversario de la creación del primer gobierno nacional de Chile
12 de febrero,tipo de fecha,Aniversario de la jura de la independencia de Chile
Decreto de 30 de julio de 1824,contenido,Suspensión de disposiciones de la Constitución de 1823 referentes a la imprenta
Decreto de 28 de julio de 1824,contenido,Modificación del reglamento de administración de justicia
Decreto de 28 de julio de 1824,contenido,Restablecimiento del Tribunal del Consulado
Decreto de 14 de agosto de 1824,contenido,Supresión de fiestas públicas establecidas por la Constitución de 1823
Decreto de 23 de julio de 1824,contenido,Supresión de la inspección fiscal
Decreto de 12 de agosto de 1824,contenido,Reducción del número de jueces letrados
Decreto de 25 de julio de 1824,contenido,Descuento de seis por ciento sobre sueldos superiores a 300 pesos anuales
Decreto de 7 de septiembre de 1824,contenido,Reglamento sobre sueldos de agentes diplomáticos de Chile
Decreto de 5 de agosto de 1824,contenido,"Ley de patentes para comercio, fabricación y diversiones públicas"
Decreto de 30 de julio de 1824,contenido,Reemplazo del término Patria por Chile en documentos públicos
Decreto de 14 de agosto de 1824,contenido,Cambio de nombre del Ministerio de Gobierno a Ministerio del Interior y Relaciones Exteriores
Mensaje del conservador al congreso nacional,fecha de publicación,21 de julio de 1824
Sesiones de los cuerpos legislativos de Chile,número de registro del documento sobre sucesos de julio de 1824,536
Sesiones de los cuerpos legislativos de Chile,tomo del registro,IX
Función teatral del 28 de julio de 1824 en Santiago,obra representada,El Aristodemo de Monti
Asonada popular de Santiago,fecha de ocurrencia,19 de julio de 1824
Reunión del Senado con el Director Supremo y ministros,fecha de ocurrencia,21 de julio de 1824
Acuerdo del Senado del 21 de julio de 1824,contenido,Otorgamiento de facultades exclusivas al Director Supremo por tres meses
Juan José Dauxion Lavaysse,encargo recibido de,junta gubernativa de Chile en 1823
Juan José Dauxion Lavaysse,contratante,administración anterior a junta gubernativa de 1823
Juan José Dauxion Lavaysse,cargo contratado de,director de museo y jardín botánico en Chile
asamblea provincial de Santiago,presidente elegido,Domingo Eyzaguirre
Domingo Eyzaguirre,cargo de,presidente de asamblea provincial de Santiago
asamblea de Concepción,plenipotenciario,Manuel Novoa
asamblea de Concepción,plenipotenciario,fray Pedro Arce
asamblea de Concepción,plenipotenciario,Pedro Trujillo
asamblea de Coquimbo,plenipotenciario,Manuel Antonio González
asamblea de Coquimbo,plenipotenciario,presbítero Marcos Gallo
asamblea de Coquimbo,plenipotenciario,Gregorio Órdovez
Manuel Novoa,representación de,Concepción en congreso de plenipotenciarios
Manuel Antonio González,representación de,Coquimbo en congreso de plenipotenciarios
junta gubernativa de Chile en 1823,secretario,Hilarión Egaña
Hilarión Egaña,cargo de,secretario de junta gubernativa de Chile en 1823
asamblea provincial de Santiago,plenipotenciario nombrado,Juan Egaña
Juan Egaña,representación de,Santiago en congreso de plenipotenciarios
congreso de plenipotenciarios de 1823,integrante,Juan Egaña
congreso de plenipotenciarios de 1823,integrante,Manuel Vázquez de Novoa
congreso de plenipotenciarios de 1823,integrante,Manuel Antonio González
acta de unión de las provincias chilenas de 1823,cantidad de artículos,41
acta de unión de las provincias chilenas de 1823,fecha de sesión,30 de marzo de 1823
estado de Chile según acta de unión de 1823,característica política,uno e indivisible
senado según acta de unión de 1823,cantidad de miembros,seis o nueve
general Freire,cargo nombrado según fragmento,director supremo provisorio
Castillo de San José de Valparaíso,ubicación de,Valparaíso
Hacienda del Bajo,ubicación al oeste de,Santiago
Hacienda Espejo,ubicación al suroeste de,Santiago
Hacienda del Bajo,propiedad de,Hospital de San Juan de Dios
Hacienda Espejo,propiedad de,Hospital de San Juan de Dios
Constitución de 1823,vigencia definitiva cesada en,Chile en 1824
Congreso nacional de 1824,lugar de reunión,Quillota
Congreso nacional de 1824,fecha de reunión,21 de octubre de 1824
Convocatoria del congreso nacional de 1824,fecha de expedición,26 de agosto de 1824
Obispo de Santiago José Santiago Rodríguez Zorrilla,cargo eclesiástico,Obispo de Santiago
Obispo de Santiago José Santiago Rodríguez Zorrilla,fecha de separación del gobierno de diócesis,2 de agosto de 1824
Españoles residentes en Valparaíso,destino de traslado ordenado el 15 de agosto de 1824,Quillota
Orden de traslado de españoles de Valparaíso,fecha de emisión,15 de agosto de 1824
Vicario apostólico Juan Muzi,cargo eclesiástico,Vicario apostólico en Chile
Vicario apostólico Juan Muzi,lugar de destino al regresar,Roma
Escuadra chilena,destino de envío,Perú
Congreso de 1824,carácter de,Constituyente
Constitución de 1823,acto legislativo de,Abrogación por el Congreso de 1824
Provincia de Concepción,acción respecto al Congreso de 1824,Retiro de sus diputados
Obispo de Santiago José Santiago Rodríguez Zorrilla,acto de juramento,Constitución de 1823
Obispo de Santiago José Santiago Rodríguez Zorrilla,predicador de sermón patriótico en,Catedral de Santiago en 1823
Mariano Egaña,cargo ministerial en 1824,Ministro
Mariano Egaña,fecha de orden al obispo sobre nombramientos,24 de enero de 1824
Mariano Egaña,fecha de exigencia al obispo sobre provisión de curatos,23 de febrero de 1824
Mariano Egaña,fecha de repetición de orden al obispo,22 de marzo de 1824
Papa Pío VII,fecha de fallecimiento,Agosto de 1823
Exequias por Pío VII en Santiago,fecha de decreto,5 de marzo de 1824
Exequias por Pío VII en Santiago,lugar de celebración,Catedral de Santiago
Presbítero Manuel Mata,predicador en,Exequias por Pío VII en Catedral de Santiago
Presbítero Manuel Mata,característica política,Oposición a la revolución independentista
Presbítero Manuel Mata,lugar de relegación anterior,Provincias argentinas
