Sujeto,Relación,Objeto
diario de navegación del viaje de Magallanes por piloto genovés,lugar de publicación,Lisboa
diario de navegación del viaje de Magallanes por piloto genovés,publicado en,tomo IV de Collecção de noticias para a historia e geografia das nações ultramarinas
piloto genovés autor de diario del viaje de Magallanes,nombre,Juan Bautista
piloto genovés Juan Bautista,lugar de nacimiento,Sestri cerca de Génova
piloto genovés Juan Bautista,año en que quedó detenido,1521
piloto genovés Juan Bautista,lugar donde quedó detenido,posesiones portuguesas de los mares de Asia
Henry Harrisse,ocupación,bibliógrafo estadounidense
Henry Harrisse,autor de,Bibliotheca Americana vetustissima
Bibliotheca Americana vetustissima,lugar de publicación,Nueva York
Bibliotheca Americana vetustissima,año de publicación,1866
Duarte Barbosa,ocupación,capitán portugués
Duarte Barbosa,relación con Magallanes,pariente
Duarte Barbosa,participante de,expedición de Magallanes
Duarte Barbosa,fecha de muerte,1 de mayo de 1521
Duarte Barbosa,lugar de muerte,isla de Zebú (Filipinas)
Duarte Barbosa,causa de muerte,asesinado por los indios
Duarte Barbosa,autor de,descripción geográfica de países orientales en 1516
descripción geográfica de países orientales por Duarte Barbosa,año de composición,1516
descripción geográfica de países orientales por Duarte Barbosa,año de publicación,1812
descripción geográfica de países orientales por Duarte Barbosa,lugar de publicación,Lisboa
descripción geográfica de países orientales por Duarte Barbosa,publicado en,tomo II de Collecção de noticias
Gonzalo Fernández de Oviedo,autor de,Historia de las Indias
Antonio de Herrera,autor de,décadas sobre el viaje de Magallanes
expedición de Jofré de Loaisa,destino,islas Molucas
expedición de Jofré de Loaisa,número de naves,siete
expedición de Jofré de Loaisa,número de hombres,450
García Jofré de Loaisa,cargo de,Capitán General de la expedición a las Molucas
García Jofré de Loaisa,cargo de,gobernador de las Molucas
García Jofré de Loaisa,ocupación,comendador de la orden de Rodas
García Jofré de Loaisa,relación con fray García de Loaisa,pariente inmediato
fray García de Loaisa,ocupación,superior de padres dominicos
fray García de Loaisa,cargo de,presidente del Consejo de Indias
fray García de Loaisa,cargo de,confesor del Rey
fray García de Loaisa,cargo de,obispo de Osma
fray García de Loaisa,cargo de,arzobispo de Sevilla
fray García de Loaisa,cargo de,cardenal
fray García de Loaisa,cargo de,inquisidor mayor
Juan Sebastián del Cano,cargo de,segundo jefe de la flota de Loaisa
Juan Sebastián del Cano,participante de,primer viaje con Magallanes
escuadra de Loaisa,fecha de salida,24 de julio de 1525
escuadra de Loaisa,lugar de salida,La Coruña
cuatro naves de la expedición de Loaisa,fecha de llegada cerca del estrecho,14 de enero de 1526
nave de Juan Sebastián del Cano,fecha de naufragio,14 de enero de 1526
nave de Juan Sebastián del Cano,número de hombres perdidos en naufragio,nueve
general Loaisa con tres naves,fecha de entrada al estrecho,24 de enero de 1526
capitana de Loaisa,fecha de regreso al río Santa Cruz,después del 24 de enero de 1526
expedición de Loaisa,fecha de vuelta a embocar el estrecho,5 de abril de 1526
expedición de Loaisa,fecha de inicio de navegación en el gran océano,26 de mayo de 1526
Carlos V,cargo de,Emperador
Carlos V,fundador de,Casa de Contratación para la especiería en La Coruña
Casa de Contratación para la especiería,ubicación,puerto de La Coruña
Oviedo,autor de,Historia jeneral de las Indias libro XX capítulo 5
Vasco Gallego,rol de,piloto de la expedición de Magallanes
Diego Ribeiro,autor de,mapas que nombran río de San Alifonso
río de San Alifonso,nombre alternativo de,río mencionado en documentos de la expedición de Loaisa
Jofré de Loaisa,cargo de,comendador en la expedición
Jofré de Loaisa,fecha de fallecimiento,30 de Julio
capitán Del Cano,sucesor en el mando de,Jofré de Loaisa
capitán Del Cano,fecha de fallecimiento,cinco días después del 30 de Julio
expedición de Loaisa,destino de,las Molucas
López de Gómara,autor de,Historia jeneral de las Indias
Historia jeneral de las Indias,lugar de publicación,Zaragoza
Historia jeneral de las Indias,año de publicación,1553
Gonzalo Fernández de Oviedo y Valdés,autor de,Historia general de Indias
Historia general de Indias,lugar de publicación,Valladolid
Historia general de Indias,año de publicación,1557
Historia general de Indias,editor de la edición completa,don Jose Amador de los Rios
Historia general de Indias,periodo de impresión de edición completa,1851-1853
Academia de la Historia de Madrid,promotor de,edición completa de Historia general de Indias
Jose de Acosta,autor de,Historia natural y moral de Indias
Historia natural y moral de Indias,lugar de publicación,Sevilla
Historia natural y moral de Indias,año de publicación,1590
Feijóo,denominación para Jose de Acosta,el Plinio español
Antonio de Herrera,autor de,obra monumental con décadas
Antonio de Herrera,año de publicación sobre expedición de Loaisa,1601
Antonio de Herrera,fuentes documentales utilizadas,diarios de navegación de los compañeros de Loaisa
Bartolomé Leonardo de Argensola,autor de,Conquista de las islas Molucas
Conquista de las islas Molucas,lugar de publicación,Madrid
Conquista de las islas Molucas,año de publicación,1609
Description des Indes Occidentales,lugar de publicación,Amsterdam
Description des Indes Occidentales,año de publicación,1622
Description des Indes Occidentales,tipo de obra,traducción francesa de parte de la obra de Herrera
presidente De Brosses,autor de,Histoire des navigations aux terres australes
don Jose Vargas Ponce,autor de,Relación del último viaje al estrecho de Magallanes
Relación del último viaje al estrecho de Magallanes,lugar de publicación,Madrid
Relación del último viaje al estrecho de Magallanes,año de publicación,1788
don Martín Fernández de Navarrete,editor de,tomo v de Colección publicada en 1837
don Martín Fernández de Navarrete,año de publicación del tomo v,1837
don Luis Torres de Mendoza,editor de,Colección de documentos inéditos relativos a América
don Luis Torres de Mendoza,año de publicación del tomo v,1866
Andrés Urdaneta,autor de,diario de la expedición de Loaisa
Carlos V,rol en,concesión de autorización a expediciones
Sebastián Cabot,cargo de,mando de escuadrilla
Sebastián Cabot,nacionalidad,veneciano
Sebastián Cabot,fecha de salida del puerto de San Lúcar,3 de abril de 1526
Sebastián Cabot,destino previsto,estrecho de Magallanes y archipiélagos de Asia
Sebastián Cabot,destino real alcanzado,Río de la Plata
Simón de Alcazaba y Sotomayor,nacionalidad,portugués
Simón de Alcazaba y Sotomayor,estado de servicio,al servicio de España
Simón de Alcazaba y Sotomayor,cargo previsto,mando de expedición para las Molucas
Carlos V,firma de,capitulación con el rey de Portugal en abril de 1529
Carlos V,monto recibido en capitulación,350.000 ducados
Carlos V,concesión a Portugal,posesión de las Molucas
Herrera,autor citado,"dec. IV, lib. v, cap. 10"
Argensola,autor citado,"Conquista de las Molucas, lib. I, p. 46"
las Molucas,año de retorno a soberanía de España,1580
las Molucas,conquistador,holandeses
las Molucas,año de conquista por holandeses,1607
Hernán Cortés,conquista realizada,Imperio Mexicano
Francisco Pizarro,lugar de solicitud a la Corte,Toledo
Francisco Pizarro,objeto de solicitud,permiso para conquistar imperio en costa del Pacífico
Simón de Alcazaba,origen de reclamación,minería en el Nuevo Mundo
Emperatriz Isabel,rol en ausencia de Carlos V,gobernando en España
Emperatriz Isabel,fecha de firma de cédulas,26 de julio de 1529
Francisco Pizarro,extensión de gobernación concedida,doscientas leguas de norte a sur
Francisco Pizarro,límite austral de gobernación,Chincha (grado 14 de latitud sur)
Simón de Alcazaba,extensión de gobernación concedida,doscientas leguas desde Chincha
Oviedo,autor citado de,"Historia general, lib. XXII, cap. 1, tomo 11"
Prescott,autor de,Historia de la conquista del Perú
pueblo de Santiago,ubicación,20' de latitud norte
pueblo de Chincha,ubicación,13° 29' de latitud sur
Francisco Pizarro,ubicación de socios,Panamá
Francisco Pizarro,fecha de llegada de nave a Sevilla con noticias,5 de diciembre de 1533
Francisco Pizarro,conquista realizada,imperio rico de las Indias
Cieza de León,autor de,La guerra de los Salinas
La guerra de los Salinas,número de capítulo citado,capítulo 39
Archivo de Indias,ubicación,Sevilla
Carlos V,emisor de,cinco reales cédulas relativas a la campaña de Alcazaba
cinco reales cédulas relativas a la campaña de Alcazaba,fecha de emisión,24 de agosto de 1529
cinco reales cédulas relativas a la campaña de Alcazaba,lugar de emisión,Toledo
Carlos V,nombramiento de veedor de fundiciones de oro y plata de la nueva gobernación a,Francisco Diosdado
Carlos V,nombramiento de contador de la nueva gobernación a,Bartolomé Cornejo
Carlos V,nombramiento de tesorero de la nueva gobernación a,Juan Gutiérrez
Bartolomé Cornejo,nombramiento de regidor del primer pueblo de cristianos que fundase Alcazaba,gobernación de Alcazaba
Juan Gutiérrez,nombramiento de regidor del primer pueblo de cristianos que fundase Alcazaba,gobernación de Alcazaba
relación anónima La conquista del Perú llamada Nueva Castilla,fecha de publicación,primeros meses de 1534
relación anónima La conquista del Perú llamada Nueva Castilla,lugar de publicación,Sevilla
relación anónima La conquista del Perú llamada Nueva Castilla,autor probable,Francisco de Jerez
Francisco de Jerez,cargo de,secretario de Pizarro
Francisco de Jerez,autor de,Verdadera relación de la conquista del Perú
Verdadera relación de la conquista del Perú,lugar de publicación,Sevilla
Hernando Pizarro,parentesco con,Pizarro
Hernando Pizarro,enviado para solicitar,ensanche del territorio concedido a Pizarro
Diego de Almagro,relación con,compañero de Pizarro en la conquista del Perú
Diego de Almagro,apoderados en,Toledo
Carlos V,emisor de,cuatro cédulas expedidas el 21 de mayo de 1534
cuatro cédulas del 21 de mayo de 1534,lugar de emisión,Toledo
Carlos V,división de América meridional en,cuatro gobernaciones
Carlos V,confirmación de concesión de Nueva Castilla a,Francisco Pizarro
Nueva Castilla,gobernador,Francisco Pizarro
gobernación de Francisco Pizarro,extensión territorial,270 leguas
gobernación de Francisco Pizarro,límite austral aproximado en costa del Pacífico,altura de Ica
Cuzco,ubicación geográfica,13° 30' de latitud sur
Cuzco,pertenencia administrativa,gobernación de Pizarro
Antonio Raimondi,autor de,El Perú
El Perú,lugar de publicación,Lima
El Perú,fecha de publicación,1876
Diego de Almagro,gobernador de,Nueva Toledo
Nueva Toledo,extensión territorial,doscientas leguas
Nueva Toledo,límite norte,límite austral de gobernación de Pizarro
don Pedro de Mendoza,gobernador de,tercera zona de doscientas leguas
gobernación de don Pedro de Mendoza,extensión territorial,doscientas leguas
gobernación de don Pedro de Mendoza,límite norte,límite austral de gobernación de Almagro
don Pedro de Mendoza,ruta de acceso a su gobernación,Río de la Plata
Simón de Alcazaba,origen,portugués
Carlos V,concesión de cuarta gobernación a,Simón de Alcazaba
gobernación de Simón de Alcazaba,extensión territorial,doscientas leguas
gobernación de Simón de Alcazaba,límite norte,término austral de territorios de Mendoza
gobernación de Diego de Almagro,límite austral aproximado en costa del Pacífico,latitud sur 25° 31'
gobernación de Pedro de Mendoza,límite austral aproximado en costa del Pacífico,36° 57' de latitud sur
gobernación de Simón de Alcazaba,límite austral aproximado en costa del Pacífico,48° 22' de latitud sur
Miguel Luis Amunátegui,autor de,Cuestión de límites entre Chile i la República Arjentina
Cuestión de límites entre Chile i la República Arjentina,lugar de publicación,Santiago
Cuestión de límites entre Chile i la República Arjentina,fecha de publicación,1879
Simón de Alcazaba,número de buques equipados,dos
Simón de Alcazaba,número de hombres reclutados,doscientos cincuenta
expedición de Alcazaba,fecha de zarpe,21 de septiembre de 1534
expedición de Alcazaba,puerto de zarpe,San Lúcar
expedición de Alcazaba,fecha de entrada al estrecho de Magallanes,17 de enero de 1535
expedición de Alcazaba,fecha de fondeo en puerto de Los Leones,26 de febrero de 1535
puerto de Los Leones,ubicación geográfica,45° de latitud sur en costa oriental de Patagonia
Simón de Alcazaba,cargo jurado,gobernador y capitán general de Nueva León
Nueva León,denominación de,gobernación de Alcazaba
expedición de exploración interior desde puerto de Los Leones,fecha de inicio,9 de marzo de 1535
Alonso Rodríguez,cargo en expedición de Alcazaba,piloto
expedición de exploración interior,duración,veintidós días
expedición de exploración interior,distancia recorrida,cerca de cien leguas
Chubut,tipo de elemento geográfico,río caudaloso
Juan Arias,cargo en expedición de Alcazaba,capitán
Juan Arias,acción realizada,amotinó a la gente contra el jefe
Simón de Alcazaba,forma de muerte,asesinado a puñaladas
Sotelo,participante en,motín contra Alcazaba
Juan de Mori,designación como,jefe tras contrarevolución
hijo de Alcazaba,edad aproximada,doce o trece años
hijo de Alcazaba,rol en tribunal militar,acusador de los asesinos de su padre
Arias,forma de castigo,decapitación
Sotelo,forma de castigo,decapitación
expedición de Alcazaba,cantidad de muertos,cerca de ochenta hombres
expedición de Alcazaba,cantidad de sobrevivientes,setenta y cinco personas
Gómara,autor de,Historia de las Indias
Oviedo,autor de relato sobre,expedición de Alcazaba
Pedro de Mendoza,cargo de,capitán
Pedro de Mendoza,lugar de origen profesional,guerras de Italia
Pedro de Mendoza,destino de expedición,Río de la Plata
expedición de Pedro de Mendoza,cantidad de naves,doce o catorce naves
Alonso Vehedor,cargo de,escribano de la expedición de Alcazaba
documento de Alonso Vehedor,lugar de conservación,archivo de Simancas
Juan Bautista Muñoz,autor de,copia de relación de Alonso Vehedor
Juan de Mori,autor de,carta del 20 de octubre de 1535
Juan de Mori,lugar de escritura de carta,cárcel de Santo Domingo
flota de Pedro de Mendoza,fecha de salida,1 de septiembre de 1534
flota de Pedro de Mendoza,lugar de salida,San Lucar
españoles de expedición de Mendoza,fecha de desembarco,enero de 1536
españoles de expedición de Mendoza,lugar de desembarco,márgenes del Río de la Plata
Juan de Ayolas,cargo de,teniente de Mendoza
Juan de Ayolas,fundador de,ciudad de la Asunción
ciudad de la Asunción,ubicación geográfica,cerca del paralelo 25
Pedro de Mendoza,fecha de reembarco a España,abril de 1537
Ulrich Schmidt,lugar de origen,Straubingen en Baviera
Ulrich Schmidt,tiempo de residencia en Río de la Plata,veinte años
relación de Ulrich Schmidt,fecha de primera publicación,1567
relación de Ulrich Schmidt,lugar de primera publicación,Francfort
Pedro Lozano,autor de,Historia de la conquista del Paraguay
Historia de la conquista del Paraguay,fecha de primera publicación,1874
Historia de la conquista del Paraguay,lugar de primera publicación,Buenos Aires
López de Gómara,autor de,Historia de las Indias
Rui Díaz de Guzmán,autor de,Argentina
instrucciones de Mendoza a su sucesor,fecha de emisión,21 de abril de 1537
instrucciones de Mendoza a su sucesor,lugar de emisión,primera ciudad de Buenos Aires
Burmeister,autor de,Description physique de la République Argentine
Description physique de la République Argentine,fecha de publicación,1876
Description physique de la République Argentine,lugar de publicación,París
Diego de Almagro,lugar de nacimiento,pueblo de Almagro
Diego de Almagro,ocupación inicial,soldado
Diego de Almagro,habilidad de escritura,no sabía escribir ni leer
Diego de Almagro,lugar de repartimiento,Panamá
Diego de Almagro,colaborador de,Francisco Pizarro
Francisco Pizarro,tipo de carácter,sombrío y desconfiado
Luis de Polanco,cargo de,alcalde de Corte de los Reyes Católicos
Diego de Almagro,empleador en juventud,Luis de Polanco
Diego de Almagro,ocupación,Adelantado
Diego de Almagro,lugar de nacimiento,Almagro
Diego de Almagro,edad al momento de muerte,sesenta tres años
Diego de Almagro,característica física,de pequeño cuerpo
Diego de Almagro,característica física,de feo rostro
Diego de Almagro,pérdida física,un ojo
Diego de Almagro,causa de pérdida de ojo,combate con los indios en el descubrimiento del Perú
Diego de Almagro,socio comercial,Francisco Pizarro
Diego de Almagro,amigo,Gonzalo Fernández de Oviedo
Diego de Almagro,hijo,Diego de Almagro (hijo natural nacido en Panamá)
Diego de Almagro,lugar de nacimiento del hijo,Panamá
Pedro Arias Dávila,fecha de salida de expedición a América,11 de abril de 1514
Bernal Díaz del Castillo,ocupación,soldado historiador de México
Gonzalo Fernández de Oviedo,ocupación,cronista
Enciso,ocupación,cosmógrafo
Diego de Almagro,fecha de carta al Rey,25 de agosto de 1531
Pedro Pizarro,parentesco con Francisco Pizarro,pariente
Pedro Pizarro,ocupación con Francisco Pizarro,paje
Pedro Pizarro,autor de,Relación del descubrimiento i conquista de los reinos del Perú
Relación del descubrimiento i conquista de los reinos del Perú,lugar de escritura,Arequipa
Relación del descubrimiento i conquista de los reinos del Perú,año de escritura,1571
Relación del descubrimiento i conquista de los reinos del Perú,año de publicación,1844
Relación del descubrimiento i conquista de los reinos del Perú,lugar de publicación,Madrid
Francisco López de Gómara,autor de,Historia jeneral de las Indias
Francisco López de Gómara,experiencia en América,nunca estuvo en América
Pedro Cieza de León,autor de,Guerra de las Salinas
Guerra de las Salinas,parte de,cuarta parte de la crónica de Cieza
Guerra de las Salinas,año de primera publicación,1877
Guerra de las Salinas,número de tomo en Colección de documentos inéditos,68
Alonso Enriquez de Guzmán,autor de,historia manuscrita de su propia vida
Diego de Almagro,edad aproximada en 1535,cerca de sesenta años
Inca Manco,cargo,emperador nominal del Perú
Inca Manco,colocado en el trono por,Francisco Pizarro
Paullo Tupac,parentesco con Inca Manco,hermano
Huillac Umu,cargo,gran sacerdote del templo del sol
Chile,tributario de,imperio de los incas
Chile,forma de tributo,oro
Pedro de Alvarado,conquistador de,Guatemala
Pedro de Alvarado,número de soldados en invasión al Perú,quinientos
Pedro de Alvarado,año de invasión al norte del Perú,1534
Diego de Almagro,número de soldados reunidos para expedición a Chile,más de quinientos
Diego de Almagro,cantidad de plata sacada para expedición,más de ciento veinte cargas
Diego de Almagro,cantidad de oro en joyas sacado para expedición,hasta veinte cargas
Fundición de metales en el Cuzco,fecha de inicio,20 de mayo de 1535
Fundición de metales en el Cuzco,fecha de término,fines de julio de 1535
Fundición de metales en el Cuzco,propósito,sacar el quinto que correspondía al Rey
Documento de fundición del Cuzco 1535,lugar de archivo,Archivo de Indias en Sevilla
Juan de Saavedra,cargo en expedición,capitán
Juan de Saavedra,número de jinetes a su mando,cien
Hernando de Soto,considerado para mando de expedición por,Diego de Almagro
Rodrigo Orgóñez,considerado para mando de expedición por,Diego de Almagro
Hernando de Soto,lugar de muerte,Florida
Peso de oro usado por conquistadores,equivalencia,un castellano
Marco de oro,equivalencia,cincuenta pesos de oro
Peso de oro,valor en maravedíes de plata,450 maravedíes
Francisco Jerez,autor de,Relación
Antonio de Herrera,autor referenciado en,"década V, libro VII, capítulo 9"
Francisco Pizarro,reconciliación con Diego de Almagro,en el Cuzco durante ceremonia religiosa
Ciudad del Cuzco,reclamada por,Francisco Pizarro
Ciudad del Cuzco,reclamada por,Diego de Almagro
Diego de Almagro,año de inicio de empresa a Chile,1535
Alonso Enríquez de Guzmán,autor de,Vida inédita
Alonso García (oficial),comprador de caballos a,Alonso Enríquez de Guzmán
Conquista y población del Perú,acompañante en campaña de,Diego de Almagro
Herrera (cronista),seguidor fiel de,Conquista y población del Perú
Diego de Almagro,amigo de,Francisco Pizarro
Diego de Almagro,fecha de salida del Cuzco,3 de julio de 1535
Diego de Almagro,lugar de establecimiento tras salida del Cuzco,pueblo de Moina
pueblo de Moina,distancia del Cuzco,cinco leguas
Rodrigo Orgóñez,cargo de,capitán en el Cuzco
Juan de Rada,cargo de,capitán en Lima
Rui Díaz,cargo de,capitán en Lima
capitán Saavedra,subordinado de,Diego de Almagro
región del Collao,ubicación geográfica de,lago Titicaca
provincia de Paria,ubicación geográfica,al oriente del río Desaguadero
soldados españoles de Guatemala,procedencia de,expedición de Pedro de Alvarado
expedicionarios de Diego de Almagro,número de indios auxiliares,cerca de quince mil
Diego de Almagro,duración de espera en Paria,un mes
Diego de Almagro,lugar de llegada a fines de octubre,pueblo de Tupiza
príncipe Paullo Tupac,compañero de espera en Tupiza de,villac-umu
tributos de Chile al Inca del Perú,monto,noventa mil pesos de oro
Diego de Almagro,duración de demora en Tupiza,más de dos meses
obispo de Panamá fray Tomás de Berlanga,cargo de,obispo de Panamá
Diego de Almagro,fecha de continuación de viaje desde Tupiza,principios de enero de 1536
Diego de Almagro,número de españoles en columna bajo Salcedo,setenta
capitán Salcedo,cargo bajo,Diego de Almagro
villac-umu,rol religioso,pontífice del sol
ejército de Diego de Almagro,lugar de reconcentración,Tupiza
Ejército de Diego de Almagro,lugar de paso,valle del río de Jujui
Indios de la región del río de Jujui,ubicación durante la defensa,alturas cercanas al valle de Jujui
Ejército de Diego de Almagro,lugar de llegada,llanura de Chicoana
Ciudad de Salta,ubicación geográfica,occidente de la llanura de Chicoana
Indios auxiliares del ejército de Almagro,denominación,yanaconas
Yanaconas,origen del término,peruano
Diego de Almagro,rol militar,capitán del ejército expedicionario
Chicoana,característica geográfica,último lugar de aprovisionamiento antes de la gran cordillera
Río Guachipas,otro nombre en curso inferior,Salado
Río Guachipas,ubicación de desembocadura,río Paraná
Río Juramento,nombre anterior a 1813,río Guachipas
General Belgrano,relación con río Juramento,quien le dio el nombre en 1813
Algarrobo (prosopis dulcis),abundancia geográfica,toda la región del valle de Santa María
Indios calchaquis,característica militar,guerreros valerosos y esforzados
Región de Quirequire,habitantes indígenas,indios calchaquis
Desierto Campo del Arenal,tiempo de travesía,siete días
Sierra de Gulumpaja,ubicación,después del desierto Campo del Arenal
Altiplanicie de la Laguna Blanca,característica geográfica,llanura interrumpida por algunos lagos salinos
Lagos salinos de la Laguna Blanca,origen geológico,vestigios de un mar prehistórico evaporado
Quebradas de San Francisco,ubicación,norte de la altiplanicie de la Laguna Blanca
Meseta de la cordillera de los Andes en esta región,extensión,más de treinta leguas de ancho
Meseta de la cordillera de los Andes en esta región,altura media,más de 4.000 metros
Meseta andina,conexión geográfica al norte,altiplanicie de los lagos Titicaca y Pampa-Aullagas
Enfermedad de las cordilleras americanas,nombres locales,puna o soroche
Señor Burmeister,cargo,director del Museo de Buenos Aires
Señor Burmeister,autor de,Reise durch die la Plata Staaten
Señor Burmeister,autor de,Description physique de la Republique Argentine
Señor Domeyko,autor de,Excursión a las cordilleras de Copiapó
Capitán Alonso de Góngora,autor de,Historia de Chile
Sargento mayor Miguel de Olaverria,tipo de documento,informe
Rodrigo Orgóñez,rol militar,comandante de una división del ejército de Almagro
Juan de Rada,rol militar,comandante de una división del ejército de Almagro
Señor Peschel,nacionalidad profesional,geógrafo alemán
Señor Peschel,autor de,Geschichte der Erdkunde
Cronista Oviedo,fuente documental,relación de Diego de Almagro
Marín de Lobera,tipo de relato sobre expedición,noticias particulares de la expedición de Almagro
Documento Conquista y población del Perú,tipo de fuente,relación original de la expedición de Almagro
Valles de Copiapó,destino de la expedición,Chile
Analizando cuidadosamente el fragmento proporcionado, procedo a extraer únicamente las tripletas RDF que estén explícitamente presentes en el texto, utilizando predicados estáticos y asegurando que las entidades sean inequívocas.
Diego Barros Arana,cargo en publicación,sección Revista bibliográfica
Diego Barros Arana,cargo en publicación,Necrología americana
Diego Barros Arana,autor de,Historia general de Chile
Revista de la Universidad de Chile,año de cese de publicación,1880
Revista de la Universidad de Chile,causa de cese,tropiezos financieros por depresión económica y guerra con Perú y Bolivia
Constitución chilena de 1822,límite oriental establecido,cordillera de los Andes
Constitución chilena de 1823,límite oriental establecido,cordillera de los Andes
Constitución chilena de 1828,límite oriental establecido,cordillera de los Andes
Constitución chilena de 1833,límite oriental establecido,cordillera de los Andes
Fuerte Bulnes,año de fundación,1843
Punta Arenas,año de erección,1848
Pedro de Angelis,autor de,estudios sobre títulos jurídicos de la Patagonia (posición argentina)
Dalmacio Vélez Sarsfield,autor de,estudios sobre títulos jurídicos de la Patagonia (posición argentina)
Miguel Luis Amunategui,autor de,estudios sobre títulos jurídicos de la Patagonia (posición chilena)
"Tratado de Paz, Amistad, Límites y Comercio entre Chile y Argentina",año de concertación,1855
"Tratado de Paz, Amistad, Límites y Comercio entre Chile y Argentina",disposición sobre límites,remisión general a los límites de 1810
Diego Barros Arana,cargo diplomático,ministro plenipotenciario de Chile ante el gobierno de Buenos Aires
Errázuriz Zañartu,cargo político,Presidente de Chile durante misión de Barros Arana en Buenos Aires
José Alfonso,cargo político,ministro de Relaciones Exteriores de Chile durante misión de Barros Arana
Nicolás Avellaneda,cargo político,presidente de Argentina durante misión de Barros Arana
Bernardo de Irigoyen,cargo político,ministro de relaciones de Argentina durante misión de Barros Arana
Diego Barros Arana,lugares de misión diplomática incluidos,Uruguay
Diego Barros Arana,lugares de misión diplomática incluidos,Brasil
Aníbal Pinto,cargo político,Presidente de Chile durante negociaciones de arbitraje con Argentina
Corbeta Magallanes,acción realizada,apresamiento de barca francesa Jeanne Amelie
Barca Jeanne Amelie,nacionalidad,francesa
Barca Jeanne Amelie,destino tras apresamiento,naufragio durante conducción a Punta Arenas
Convención de Arbitraje entre Chile y Argentina,fecha de suscripción,enero de 1878
Convención de Arbitraje entre Chile y Argentina,firmante chileno,Diego Barros Arana
Convención de Arbitraje entre Chile y Argentina,límite establecido,cordillera de los Andes
Convención de Arbitraje entre Chile y Argentina,materia sometida a arbitraje,estrecho de Magallanes y otros territorios en la parte austral del continente
Convención de Arbitraje entre Chile y Argentina,jurisdicción chilena en arreglo provisorio,todo el estrecho de Magallanes con sus canales e islas adyacentes
Convención de Arbitraje entre Chile y Argentina,jurisdicción argentina en arreglo provisorio,Patagonia hasta la boca oriental del estrecho y la Tierra del Fuego bañada por el Atlántico
José Alfonso,posición sobre Convención de Arbitraje de 1878,desacuerdo
Tratado de límites entre Chile y Argentina,año de negociación,1881
Tratado de límites entre Chile y Argentina de 1881,consultor del gobierno chileno,Diego Barros Arana
Tratado de límites entre Chile y Argentina de 1881,criterio de demarcación cordillerana sostenido por Barros Arana,cumbres que dividen las aguas
Tratado de límites entre Chile y Argentina de 1881,delimitación del estrecho desde,paralelo 52 en la cordillera
Tratado de límites entre Chile y Argentina de 1881,delimitación del estrecho hasta,punta Dungeness en salida al Atlántico
Diego Barros Arana,cargo de perito,perito de límites de Chile
Diego Barros Arana,inicio de labores como perito,1588
Protocolo aclaratorio del Tratado de límites Chile-Argentina,plenipotenciario chileno,Isidoro Errázuriz
Protocolo aclaratorio del Tratado de límites Chile-Argentina,plenipotenciario argentino,Norberto Quirno Costa
Protocolo aclaratorio del Tratado de límites Chile-Argentina,año de elaboración,1893
Protocolo aclaratorio del Tratado de límites Chile-Argentina,principio confirmado,divisoria de las aguas
Protocolo aclaratorio del Tratado de límites Chile-Argentina,norma para peritos,principio de divisoria de las aguas
Arbitraje de límites Chile-Argentina,árbitro,Su Majestad Británica
Alegato chileno ante árbitro británico,autor de estudio introductorio,Diego Barros Arana
Alegato chileno ante árbitro británico,principio defendido por Barros Arana,divortium aquarum (divisoria de aguas)
Comisión arbitral británica,presidente,coronel Thomas Holdich
Fallo arbitral británico de límites Chile-Argentina,territorio reconocido a Chile,54.225 kilómetros cuadrados
Fallo arbitral británico de límites Chile-Argentina,territorio perdido por Chile,39.915 kilómetros cuadrados
Diego de Almagro,líder militar de,expedición a Chile
Pedro Calvo Barrientos (o Gonzalo Calvo de Barrientos),residente en,valle de Aconcagua
Pedro Calvo Barrientos (o Gonzalo Calvo de Barrientos),desertor de,ejército de Francisco Pizarro
curaca de Aconcagua,gobernante de,valle de Chile (valle de Aconcagua)
curaca de Aconcagua,subordinado de,Inca
Rui Diaz,capitán de,Diego de Almagro
Rui Diaz,conquistador veterano de,Guatemala
Rui Diaz,comandante de,expedición naval a Chile
Pedro de Alvarado,propietario original de,tres buques utilizados por Rui Diaz
hijo de Diego de Almagro,tripulante de,buque del capitán Rui Diaz
Francisco Pizarro,lugar de castigo ejecutado,Jauja
valle de Copiapó,primer valle chileno de,expedición de Almagro
valle de Huasco,valle chileno,Chile
valle de Coquimbo,valle chileno,Chile
valle de Aconcagua,valle chileno,Chile
portezuelo de las Tres Cruces,elevación,más de 4.500 metros sobre el nivel del mar
quebrada de Paipaiote,ubicación geográfica,entrada del valle de Copiapó
Jerónimo Costilla,vecino de,Cuzco
Jerónimo Costilla,participante en,expedición de Almagro a Chile
Vasco de Guevara,soldado de,expedición de Almagro a Chile
Vasco de Guevara,conquistador procedente de,América Central con Pedro de Alvarado
información de servicios de Vasco de Guevara,fecha de inicio,20 de marzo de 1543
información de servicios de Vasco de Guevara,lugar de inicio,Cuzco
villac-umu,acompañante de,tres soldados castellanos
Chincha,lugar de llegada de,buque de Rui Diaz
broma,tipo de organismo,molusco
Diego de Almagro,proveedor de auxilio a,soldados en la cordillera
Pedro Calvo Barrientos,maestro de,indios del valle de Aconcagua en arte militar
Rui Diaz,armador de,tres buques de Pedro de Alvarado
expedición naval de Rui Diaz,fecha de zarpe,principios de 1536
